"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"AIC_random"	"gamma_random"	"prop_random"	"eff_mean_minClass"	"sd_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass_mean"	"correct_factor"	"CHVP_test_correct"
"18"	20	125	0.514249355128747	-0.0179176878198703	-764.867725317699	"-0.0179176878198703_0.14102387352013"	"0.502486822349265_0.497513177650735"	-0.0110865411712851	0.0273922809774133	0.686371609498949	0.135878223318051	0.0356729148743188	0.000218382686856014	1.50425070615039	0.00249366266005484
"19"	19	98	0.0657793625962363	0.0740022432952908	-561.507908121824	"0.0740022432952908_0.126196033623812"	"0.500665998812851_0.499334001187149"	0.043640553708763	0.0397657372127874	0.275165475309289	0.15591837290996	0.0477428675280722	0.00150930860856334	1.31637158948054	0.10510512526935
"20"	18	121	0.606464999300349	0.0220572926916313	-691.4066205706	"0.0220572926916313_0.16518767097734"	"0.50042967295563_0.49957032704437"	0.0174640822283763	0.0427064063861594	0.683317333724376	0.169481350237477	0.0535351364079194	0.00196074841758682	1.93735819279361	0.0804209920918711
"21"	21	107	0.630906801536193	-0.0143234500288824	-668.864840074184	"-0.0143234500288824_0.166458666725854"	"0.503987950566388_0.496012049433612"	0.000168198571509273	0.0297260320665797	0.995495995465429	0.150685315783227	0.0333301124942459	1.60908176028365e-05	1.31197126452983	0.00129962609719583
"22"	23	96	1.30485787474089e-09	0.200097821364138	-575.338894468566	"-0.00322478751947122_0.200097821364138"	"0.496747897900133_0.503252102099867"	0.00416758481647269	0.0383253517960018	0.913636288537844	0.193627930381697	0.0297527643294525	3.56848367391112e-09	1.25486127553537	0.000153601394836639
"23"	26	113	0.00157698395875908	0.0962624091520387	-689.880005262923	"0.0962624091520387_0.0962778517922189"	"0.500000000000003_0.499999999999997"	0.0835459821648127	0.0297161872066864	0.00582375044630211	0.110320426529053	0.0322488198641218	0.000871886848868056	1.22763379507801	0.628323411256405
"24"	27	101	0.396860026476337	0.0288695961878242	-617.966051894563	"0.0288695961878242_0.213326320103852"	"0.501156323550723_0.498843676449277"	0.0442913994897588	0.0339284663611205	0.194740370919908	0.197582355058574	0.0343707883750584	9.79859889558813e-08	1.25912884721924	0.00235420406467754
"25"	28	92	7.03061240117553e-14	0.25130331416542	-555.28066811779	"0.0129130886546883_0.25130331416542"	"0.498627149683118_0.501372850316882"	0.0204329333633818	0.0276861596063168	0.462401415448973	0.244327998163198	0.0284477537774437	2.2865057403992e-13	1.3830372074865	3.94254731272488e-08
"26"	24	100	7.34217087519322e-05	0.157171249592312	-595.304332986894	"0.1571284939249_0.157171249592312"	"0.499999999999981_0.500000000000019"	0.12525436340971	0.0387337271101551	0.00166077959643226	0.194229384379792	0.0379751726965741	1.5396405926805e-06	1.16670871389519	0.243603626751601
"27"	22	122	0.0150578618228091	0.0790547087610869	-714.208983659049	"0.123835287493357_0.0790547087610869"	"0.486947000584488_0.513052999415512"	0.0562360651615961	0.0320557212158307	0.0819068881712924	0.144515117063578	0.0458315918325652	0.00203690493600917	1.18613553847611	0.14349912946855
"28"	29	84	0.000336760135994846	0.202729630562686	-498.624885587048	"0.0457821405647738_0.202729630562686"	"0.499399341071283_0.500600658928717"	0.0591779068819765	0.0511643535670157	0.250744265996595	0.192526675976737	0.0541967056270839	0.000632560721219697	1.41698627661253	0.121424642827383
"29"	25	138	0.67231103248544	0.0129622051433169	-844.721819318633	"0.0129622051433169_0.203108093366189"	"0.500542548046155_0.499457451953845"	0.0233954234405981	0.0305791902415087	0.445541862326383	0.192394083970268	0.0296175007662616	1.41030902859351e-09	1.66122696831299	0.000231233904789769
