risk	disease	IVs	P_mbe	eff_mbe	se_mbe	P_egger	eff_egger	se_egger	P_ivw	eff_ivw	se_ivw	P_weightedMedian	eff_weightedMedian	se_weightedMedian
hdl	t2d	202	0.146482364398851	-0.0712542647330929	0.0490708463744428	0.761954023924905	-0.0214283690201594	0.0707403458348141	0.00046455491646215	-0.138954961138133	0.0396968443484765	0.0426529167805918	-0.0907583053712983	0.0447726431745536	
hdl	asthma	197	0.440401636888972	-0.0305512526736158	0.0395990306389244	0.280875863069334	-0.0593226398122475	0.0550122192904291	0.847939236890578	-0.00611375584704762	0.0318842484123506	0.42369544951668	-0.0357649262550804	0.0447046775396258	
bf	stroke	10	0.936384943736611	0.0130520314355083	0.163529968590816	0.700826434397715	-0.176702939003981	0.459918247788614	0.887146396276081	-0.0130907625968203	0.0922430683862297	0.934552774994336	-0.00974079824833801	0.118619336248215	
tg	t2d	132	0.185194359620439	0.0889413710770555	0.0671291080047704	0.233244583873071	-0.107136024970603	0.0898760116231189	0.442188795405249	0.0406535262117277	0.0528996771999225	0.516406097504261	0.0402848184781829	0.0620821614313199	
hdl	stroke	207	0.239116539501385	-0.0310099319164796	0.026342157732653	0.485922962458668	0.0224894108880746	0.0322749036640984	0.0265193162538372	-0.0426733278246924	0.0192350327646833	0.0827374969412665	-0.047147651444811	0.027174146332402	
ldl	t2d	180	1.40714637828551e-05	-0.234879535545849	0.0540855237422257	0.000239518452617382	-0.2315442104729	0.0630358568536666	4.58772288775972e-05	-0.135427007206774	0.0332279588632901	4.01542298633294e-05	-0.175072971822519	0.0426321968894747	
ldl	stroke	184	0.00210164540228877	0.0740909053853427	0.0240908486036171	4.63353705353331e-05	0.118991699480948	0.0292120172064992	0.000171635570336682	0.0712198466341157	0.0189541702101075	0.009567866384679	0.0727374651603119	0.0280723907083507	
dbp	asthma	1116	0.488475349803176	-0.0137197085045375	0.0198051088575377	0.339254261911984	-0.00991993482491417	0.0103804123092532	0.479328578386205	-0.00254290263692523	0.0035948038039942	0.183575319725365	-0.00609909919385301	0.00458638588126566	
sbp	asthma	1054	0.651822791741351	-0.00506631354799991	0.01122775080809	0.944243567718508	0.000398847864052219	0.00570293513943788	0.0601305932232583	0.00370342742466894	0.0019700812985133	0.722627755250675	0.000952158328934672	0.00268252107592351	
dbp	t2d	1168	0.782526320973224	-0.00466388497268966	0.0168964007427155	0.523052821014994	-0.00743868544014412	0.0116475759258267	0.00351525056679257	0.0117902577226189	0.00403959566211278	1	0	0.00537179626786325	
height	t2d	5358	0.881193894019496	0.011490101136383	0.076879534702075	0.653718401036192	-0.0159145318974726	0.0354757953247109	0.412146386069046	-0.0130721126507439	0.015939223356285	1	0	0.0245433243047449	
sbp	t2d	1093	0.988217566491717	-0.000112676800151812	0.00762998675325252	0.884526353065648	0.00108029095581754	0.0074382935748722	2.23575646266999e-08	0.0147992999497112	0.00264618538695207	1	0	0.00313458941981197	
height	asthma	5244	0.323076891524962	0.0633321336081689	0.0640913146705634	0.565364527586866	-0.0191608036068739	0.0333294128543972	0.00698645869244107	-0.0404380745177533	0.0149910061134523	0.715890519256448	-0.00815885213909264	0.0224171101040186	
height	stroke	5357	0.304283550052376	-0.0568033531178083	0.0552943263519093	0.181388796038769	-0.0320749199008557	0.023999351026449	1.31308740841774e-05	-0.0469359680660044	0.010770286457874	0.0154257466815085	-0.0405599072500551	0.0167448885685797	
tg	stroke	119	0.805814139052318	-0.00879036774235065	0.0357579704841311	0.116176330553662	-0.0659473747351059	0.0419772329025238	0.557335670287744	0.0146403550939442	0.0249493305917449	0.844982457065867	0.00677982040494978	0.0346750648820956	
sbp	stroke	1313	1.06778123920748e-06	0.0304979898536159	0.00625123155069641	0	0.0386621786520312	0.00392746965940869	1.01371346541258e-85	0.0280001326101894	0.0014270147581101	1.81960005383933e-52	0.0293829672815896	0.00192757800867945	
dbp	stroke	1363	1.45948160458371e-07	0.0561692504788567	0.0106834409016419	0	0.055881302255988	0.00632805563551179	2.02976104695572e-78	0.0442507906718616	0.00236035913321397	6.42206440472191e-55	0.0507006297358885	0.00324837493427358	
