risk	disease	IVs	gamma_median_causal	q_median_causal	eta_median_causal	q_median_sharing	eta_median_sharing	p_cause	rho
height	cad	17455	-0.0808538176740887	0.0232774920957994	-0.0226470256194787	0.419905388937351	-0.174284816448478	0.00139257891060716	-0.112310171031308	
bf	cad	872	0.12981113314771	0.0380486025303639	-1.04175285354064	0.0346081251011257	-0.195541881117071	0.417222404813722	0.0643713659306009	
fg	asthma	732	-0.221937564030079	0.0406642481350234	0.159248794937899	0.0618421311854701	-0.470702743036755	0.257123085089397	0.00376799344323291	
bmi	asthma	1402	0.117076814983348	0.0324280545367072	-0.0618147988877767	0.115849187111092	0.573842565772473	0.271328147090861	0.032857375025696	
smoking	t2d	2567	0.0462548470877263	0.0458403412220158	0.95693002044932	0.0187434564308922	0.465238188716952	0.996805595729712	0.015738434142811	
bmi	stroke	1417	0.0838256146497488	0.0314830823934101	0.00804594282253262	0.0837980966963002	0.397049941414086	0.163497911610191	0.0387902087585823	
bf	t2d	858	0.0845771136004157	0.0307900546846248	-1.05179707005516	0.0233621476165247	-0.498691183773187	0.943611341245027	0.0602359665999071	
height	stroke	17470	-0.0202794005060823	0.0331715695640456	-0.051498532526211	0.0550130251567871	-0.184560460090956	0.518584964807201	-0.0426268759452215	
hdl	cad	1204	-0.180976908077654	0.0267008484707802	-0.166269192560062	0.415109645724426	-0.358842258451906	0.00789796730240308	-0.0763079127692051	
tg	asthma	1043	-0.100685776445863	0.0340045650547097	-0.189311233292899	0.122242624518665	-0.402154535862781	0.16252354517813	0.00653921653627027	
fg	cad	780	0.185875663448279	0.0300269355561265	-0.146771619671973	0.0552027236102538	0.369821847682852	0.123917232658091	0.0238720490348789	
bf	stroke	868	0.00506457532620762	0.0469139906370179	0.201591677209504	0.0402814755016755	0.206284537449091	0.999999999955612	0.02268917436686	
ldl	stroke	1109	0.0570350504246176	0.0294484848546226	0.0166107014496864	0.0784764361995305	0.192556518936378	0.067021486087974	0.0072545683766155	
fg	t2d	779	0.779485058679547	0.0321547452959716	0.459159769091566	0.115371913107072	1.76407703819856	0.0413555148751147	0.073345258429563	
alcohol	t2d	1639	-0.0621658157626305	0.0330883505303983	0.154500647040574	0.0237051557770095	-0.757696690406168	0.872961723357242	-0.0100893692590404	
hdl	stroke	1189	-0.0356689743154598	0.0250511436278064	-0.00411666086656134	0.0402226670420645	-0.127737071495516	0.284239151374222	-0.034977132093036	
fg	stroke	773	-0.0313917150700055	0.0472257862884656	0.179001111744996	0.0403313826385803	0.0865756967855103	0.977073613264483	0.0206977252235643	
dbp	cad	9767	0.0360977793119662	0.0284992596802139	-0.000545338277881492	0.847342493238964	0.0409407202629444	1.11713156818736e-17	0.0801959832232535	
smoking	asthma	2420	0.123656426758384	0.0358369980078821	-0.165590539444752	0.0370898876486065	0.564708745690605	0.594780271408811	0.0221755147933506	
dbp	t2d	6972	0.00968554406614065	0.318820321846867	-0.00142122089643981	0.0972748029992618	0.0545669747596428	0.229347689664367	0.0376207668072558	
bmi	cad	1427	0.273138614272952	0.021585652111058	-0.149286280389405	0.530204418421377	0.414667322423054	0.000539913944432228	0.109143149384683	
alcohol	cad	2617	0.0322817449979366	0.0302235643447037	-0.0321102762678174	0.0253648029518964	0.102394132906207	0.925376233907297	-0.00527083706550419	
smoking	cad	3823	0.49266117677218	0.0324316749419709	-0.00359995159685098	0.568093389744537	0.741878674057973	2.09712907962509e-05	0.0951163067896137	
tg	t2d	1095	0.0847252368397138	0.0382066795675668	1.58736134701007	0.0635021130749753	1.64370661126035	0.377462567088878	0.0972920183685919	
alcohol	asthma	1544	-0.0843826303639029	0.030014856726358	0.242594660907474	0.0272301565803042	-0.267002685958742	0.755159975835198	-0.0167629474506377	
