risk	disease	IVs	P_random	eff_random	AIC_random	gamma_random	gSigma2_random	prop_random	b_random	sigma2_random	b_prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
bw	t2d	54	0.762584196914039	-0.549939205710211	-198.540652725651	-1.02135191230838_-0.549939205710211_0.0770118382906454	1.88687860622017_0_0.1375801982161	0.316045062175933_0.347376574982299_0.336578362841768	0.00304942823093715	0_0	0.5_0.5	0.561909921582626	-0.655821457068374	-196.073248970553	-0.655821492723546_-0.655821457068374_0.151605909313478	0.339932245962477_0.339932245962477_0.320135508075047
smoking	asthma	110	0.890755758144002	-0.08520434683727	-551.170253543052	-0.236249249522606_-0.08520434683727_0.483172955752852	2.48149503702039_0_0.318815192797447	0.330482160769601_0.335275337170592_0.334242502059807	-0.00110143965826875	0_0	0.5_0.5	0.96372977994032	0.0669883843267048	-557.284215617806	0.0669791904457804_0.0669883843267048_0.0670096936369187	0.333333333333304_0.33333333333354_0.333333333333156
tg	cad	134	0.103088867444797	0.293937081136557	-658.879897063696	0.293937081136557_0.260648881498886_0.497040136198064	0.0613965034834398_0_0.344482494762622	0.33953478200315_0.334506117681892_0.325959100314958	-0.000491103175800203	0_0.000114051973406121	0.497308675233924_0.502691324766076	0.290772995243312	0.276061508415678	-659.011347128409	-0.0276801784328468_0.276061508415678_0.617191948525573	0.31198105959053_0.347741912859244_0.340277027550226
alcohol	cad	54	0.356896482702867	0.352046414629521	-283.368649288207	-0.328895806534675_0.352046414629521_0.187283073672893	0.441754799386483_0_0.729629660052304	0.317676329810377_0.366124093414717_0.316199576774906	-0.00166248455878299	0_0	0.5_0.5	0.00934001903362575	0.39142368717129	-289.832732833962	-1.07926732959518_0.39142368717129_0.391426552213804	0.258035820028772_0.370982089985641_0.370982089985587
bw	stroke	56	0.564938561476378	-0.230726537268401	-286.212889707099	-0.230726538995656_-0.230726537268401_0.137593116580859	0_0_0.0897904736586917	0.335296156246445_0.335296156246445_0.32940768750711	0.000491012988298845	0_0.000114346807234162	0.505777298044244_0.494222701955756	0.212000620811414	-0.274836979803739	-291.281922286105	-0.274838857975987_-0.274836979803739_0.270419914084365	0.342904003175184_0.342904003175213_0.314191993649603
bw	cad	58	0.293048321202647	0.119232320619978	-287.928617647966	-0.409298815901976_-0.252434736361891_0.119232320619978	0.932946633850372_0_0	0.294579315241669_0.344947885913921_0.36047279884441	-0.00212171970117951	0_0	0.5_0.5	0.848251047886838	-0.320019394120332	-293.999264095704	-0.320019394120332_0.0292677577635872_0.029274044592923	0.337600077705014_0.331199961147468_0.331199961147518
ldl	cad	188	4.21352344028857e-09	0.487226815578721	-911.209239694939	0.239424928307363_0.487226815578721_0.485382455047125	0_0_0.740908930475147	0.363457595018184_0.367588049774705_0.268954355207111	-0.00106025901705449	0_6.7446889492806e-05	0.498794155275499_0.501205844724501	5.70301386964818e-06	0.232518074389454	-845.074900119416	0.232518074389454_0.437213732256261_0.585285763554898	0.346280971044745_0.333586442888809_0.320132586066447
smoking	t2d	113	0.920296864198184	-0.0758198612874336	-535.3911230196	-0.0758198612874336_-0.0758198897438709_0.879719566006116	0_0_0.649424376934645	0.333942153976764_0.333942153976764_0.332115692046472	0.000607038830422575	0_6.31367361398549e-05	0.500312502071589_0.499687497928411	0.851695541724773	0.232244510292105	-541.152992634229	0.232244510292105_0.232244425909963_0.232265332805356	0.333333333333387_0.333333333333384_0.333333333333229
smoking	stroke	125	0.805413605832147	0.296396974321655	-726.618987961893	0.296376795182299_0.296396974321655_0.296396976435426	0_0_0	0.333333333332853_0.333333333333574_0.333333333333573	0.000863705164053259	0_5.58602027464751e-05	0.498942634308951_0.501057365691049	0.732357344599272	0.296396571660193	-732.618987961886	0.29637751834406_0.296396571660193_0.296396652664519	0.333333333332876_0.333333333333564_0.333333333333561
hdl	cad	209	0.544926929539969	-0.0523653104445397	-1006.34748570094	-0.604817750683515_-0.133818476033688_-0.0523653104445397	0.374336819868065_0_0.058599554733612	0.3216986937196_0.33503480156021_0.343266504720189	-0.000601648654735536	0_0.000119787051515793	0.494352576379178_0.505647423620822	0.0636560250380416	-0.137643769073446	-996.330127609618	-0.521820804762694_-0.137643769073446_0.132051622183243	0.341034304411667_0.343203956664768_0.315761738923565
