risk	disease	IVs	P_1	eff_1	AIC_1	gamma_1	gSigma2_1	prop_1	b_1	sigma2_1	b_prop_1	corTest_1	P_2	eff_2	AIC_2	gamma_2	prop_2	corTest_2	P_3	eff_3	AIC_3	gamma_3	prop_3	corTest_3	P_4	eff_4	AIC_4	gamma_4	prop_4	corTest_4
sbp	t2d	1093	0.162184615355948	0.0134605336960303	-4887.11997865974	0.0134470301752707_0.0134605336960303	0_0	0.49999999999937_0.50000000000063	-0.000696337281613859	0_0.000624759098544329	0.52201189271347_0.47798810728653	0.998505716908694	0.162184583266943	0.0134558662316918	-4891.11997896527	0.0134516971334873_0.0134558662316918	0.499999999999885_0.500000000000115	0.999538652444613	0.0261887395547654	0.00814299363188479	-4864.21246535566	0.00814299363188479_0.0262455549007579	0.526113255527461_0.473886744472539	0.0130692355314677	3.34974839209562e-10	-0.0208589511444818	-4635.49088801706	-0.0208589511444818_0.0588772173530039	0.514643430173337_0.485356569826663	0	
alcohol	asthma	41	0.899764157164385	-0.258688426910862	-211.166895587278	-0.258688426910862_0.124772904288669	0_0.01125902433846	0.500132655836459_0.499867344163541	0.00129875981709119	0_0	0.5_0.5	0.0835391009276962	0.829806206456479	-0.274090964091234	-215.166159711573	-0.274090964091234_0.140688945389435	0.50026940948545_0.49973059051455	0.060234123335114	0.885658393848635	-0.0779603788575384	-212.190363167783	-0.0779603788575384_-0.0779496998287754	0.500000000000019_0.499999999999981	0.999965650190295	0.885658393848635	-0.0779603788575384	-216.190363167783	-0.0779603788575384_-0.0779496998287754	0.500000000000019_0.499999999999981	0.999965650190295	
bw	asthma	51	0.948526080427738	0.183204007848116	-253.115997755515	-0.0318229206175752_0.183204007848116	0.0504080634661207_0	0.499548153666631_0.500451846333369	0.000661839283661067	0_8.49409316384041e-05	0.500956626893827_0.499043373106173	0.059226408611285	0.987360154825672	0.169070981620646	-257.074224961648	-0.00964333308031366_0.169070981620646	0.499884795390486_0.500115204609514	0.127066766166745	0.919464851964568	0.186536636772838	-255.115852111366	-0.0358573270132568_0.186536636772838	0.499501513067485_0.500498486932515	0.0504804387805429	0.615167519881411	0.25279405337347	-259.001911853606	-0.10219084955384_0.25279405337347	0.499105939787239_0.500894060212761	0.00162908034807163	
tg	t2d	132	0.649520704602273	0.12703752732333	-528.880984730736	-0.0607381206602307_0.12703752732333	0.0527038986439396_0	0.497613490666105_0.502386509333895	0.000133453557802553	0_0.000891093925904532	0.507306302143031_0.492693697856969	0.0956934475774089	0.893589171172841	0.052262470134721	-531.634573316181	0.0521277134895975_0.052262470134721	0.499999999999635_0.500000000000365	0.999039622036627	0.501509158009303	0.0522148791483948	-523.042527702688	0.0522148791483948_0.230644175572244	0.515571842065918_0.484428157934082	0.0980704711514582	2.40819787509485e-05	0.294886760207641	-489.113922653987	-0.332146734305809_0.294886760207641	0.459446640155771_0.540553359844229	1.33226762955019e-15	
tg	cad	134	0.00309962964636433	0.25108004783012	-662.317604580483	0.432025564228054_0.25108004783012	0.218562440058658_0.0186924931607767	0.492947766104582_0.507052233895418	-0.000518581922114096	0_0.000151103668691491	0.50080574354338_0.49919425645662	0.00275620123886	0.0070893046298269	0.155303734071505	-652.829699729226	0.155303734071505_0.558396855826692	0.525405643848444_0.474594356151556	6.61048549233101e-10	9.79606830368033e-05	0.2536989553902	-663.411695949697	0.2536989553902_0.466100844925358	0.51475512148161_0.48524487851839	0.000826776065687485	2.82724772177605e-06	0.118503458454078	-585.200640511662	0.118503458454078_0.692326461110471	0.552612429454028_0.447387570545972	0	
smoking	asthma	110	0.949297071035121	0.066962860632958	-557.284207957412	0.066962860632958_0.0670180764860973	0_0	0.500000000000259_0.499999999999741	-0.00103201821260199	0_0.000240738985630417	0.501697844395047_0.498302155604953	0.999804410490108	0.949297039434306	0.0669623526174033	-561.284207959778	0.0669623526174033_0.0670185679083734	0.500000000000063_0.499999999999937	0.999800870213896	0.721244510609841	0.147617943357523	-558.747813355479	-0.0281712531021534_0.147617943357523	0.497822702155442_0.502177297844558	0.354184940342855	0.0536329224882762	-0.622269069501394	-561.53900258336	-0.622269069501394_0.768652315465884	0.500689189985582_0.499310810014418	1.46276324386463e-11	
bw	t2d	54	0.159135434278523	-0.281093779598942	-201.908028993705	-0.731988469496261_-0.281093779598942	1.59042244078647_0.0830799589924298	0.475042043572574_0.524957956427426	0.0030513501215763	0_0	0.5_0.5	0.393956577254748	0.388846002863832	-0.469266319124197	-199.613219713216	-0.469266319124197_-0.469266311800955	0.5_0.5	0.999999988645952	0.156608264651057	-0.294024208686065	-203.629453008902	-0.721643264635601_-0.294024208686065	0.475379566651841_0.524620433348159	0.41632025926763	1	0.00502646971615819	-173.715773083383	-1.63941792239804_0.00502646971615819	0.389141044781641_0.610858955218359	0.00537526232364627	
bw	stroke	56	0.83193834897951	-0.243665601627549	-291.844284247775	-0.243665601627549_0.0252703279403309	0_0.0958093599499687	0.505439070911697_0.494560929088303	0.000612111800498914	0_0.000105085046637627	0.504806375546769_0.495193624453231	0.0119191447046938	0.660534058922178	-0.285000776092146	-293.980735918899	-0.285000776092146_0.0940370484220212	0.509759463697233_0.490240536302767	0.000364679413175972	0.805213522861259	-0.207381810455427	-293.479176869702	-0.207381810455427_-0.0431066005947736	0.501944032419024_0.498055967580976	0.173446603078109	0.0367647734033142	-0.388664677804262	-294.72561300327	-0.388664677804262_0.188558980563878	0.525370843984596_0.474629156015404	1.60134039361992e-09	
alcohol	stroke	53	0.720789286169114	0.0605180912459436	-294.804433392058	0.0605180912459436_0.0605188489106602	0_0	0.500000000000002_0.499999999999998	-0.00259986950646767	0_1.73010553634705e-05	0.499420532492246_0.500579467507754	0.999995957227021	0.720789286267167	0.060518207031431	-298.804433392008	0.060518207031431_0.0605187372906568	0.5_0.5	0.999997170624977	0.710497407937345	0.0605556073486793	-296.662558804196	0.0605556073486793_0.0605576090074947	0.500000000000012_0.499999999999988	0.999989921241275	0.710497407939157	0.0605556005840296	-300.662558804195	0.0605556005840296_0.0605576176281532	0.500000000000014_0.499999999999986	0.999989843773122	
alcohol	t2d	43	0.712662790026194	0.0649444058803071	-184.656049456579	0.0649444058803071_0.148721139275149	0_1.2767712922595	0.513056555535827_0.486943444464173	-0.00200715594482186	0_0	0.5_0.5	0.768709075810523	0.621411035594462	0.110175952092881	-189.201205093181	0.110175949426255_0.110175952092881	0.5_0.5	0.999999993614734	0.731556977662896	0.0598644642733122	-186.628149878021	0.0598644642733122_0.206690635021822	0.513485155874609_0.486514844125391	0.613348303486698	0.722049440453157	0.129781847774494	-187.386712714991	0.129781847774494_0.129791619862512	0.500000000000006_0.499999999999994	0.999966049119717	
bw	cad	58	0.478218400587562	0.0702004924646472	-294.069942941154	-0.261229899124517_0.0702004924646472	0_0	0.497230545548241_0.502769454451759	-0.00157002625325415	0_0.000438373220599857	0.532808694866234_0.467191305133766	0.00544151663861303	0.429882332663357	0.0702005183921575	-298.069942964446	-0.261229939245295_0.0702005183921575	0.497230543135479_0.502769456864521	0.00544150776920782	0.626001656907665	-0.0303151435266934	-291.343494219443	-0.324457078998112_-0.0303151435266934	0.454009436036636_0.545990563963364	0.0158987465478226	0.06483395059818	0.136713361650287	-277.785042326382	-0.50295826800632_0.136713361650287	0.455999717868585_0.544000282131415	7.68296537501101e-12	
smoking	t2d	113	0.925249697854654	-0.062897511973365	-541.184848742032	-0.062897511973365_0.545356397728547	0_0.407116196713115	0.501115217491289_0.498884782508711	0.000397700343892098	0_9.5233608577196e-05	0.500543993540729_0.499456006459271	0.0623697172111024	0.816779054695758	0.232221107785427	-545.152662941104	0.232221107785427_0.23225939791088	0.500000000000012_0.499999999999988	0.999908158339522	0.827511678205281	-0.106142262997619	-543.170366156374	-0.106142262997619_0.593018248456118	0.50150014859342_0.49849985140658	0.0313354887031476	0.426898124533071	-0.289425447946469	-546.531491310261	-0.289425447946469_0.786377153082606	0.502380711470889_0.497619288529111	0.000646040271517823	
ldl	cad	188	1.12181707329662e-19	0.367612852821499	-894.630638664111	0.367612852821499_0.439043968862259	0.0106525799339546_0.488743496973298	0.573871005991107_0.426128994008893	-0.000903943805714088	0_5.35636133906832e-05	0.499862919159679_0.500137080840321	0.294223329923853	7.46759315162399e-12	0.511029378316744	-850.489819149328	0.244400773300481_0.511029378316744	0.492719430304895_0.507280569695105	1.60256411434467e-05	1.37803586510247e-21	0.367727657027654	-896.630415697959	0.367727657027654_0.438835804846824	0.57387487017799_0.42612512982201	0.295674688821143	1.19879903149063e-64	0.283103322743773	-628.834595445553	0.283103322743773_0.942052942156768	0.715955704107696_0.284044295892304	0	
hdl	cad	209	0.126268271972715	-0.0701031468555031	-1006.11704175518	-0.469274142311218_-0.0701031468555031	0.307949939665324_0.0270081724966061	0.477945338472415_0.522054661527585	-0.000797957498146348	0_0.000109142571364251	0.497257269931823_0.502742730068177	4.63185045873615e-13	0.190144379889564	-0.0456380624878485	-991.291253881342	-0.458683645520905_-0.0456380624878485	0.469955389146122_0.530044610853878	3.99680288865056e-15	0.102206479436214	-0.0740692611996701	-1007.63204003543	-0.478680792055175_-0.0740692611996701	0.476583255990511_0.523416744009489	2.41806574763359e-13	0.510945574682569	-0.00524931213144941	-897.840597562972	-0.705532411847768_-0.00524931213144941	0.400587327939988_0.599412672060012	0	
alcohol	cad	54	0.00396558278950426	0.341272106864768	-290.686445142156	-0.192524497459318_0.341272106864768	0.795928879025197_0	0.487170700618801_0.512829299381199	-0.00203147428202156	0_0	0.5_0.5	0.00126704400058797	0.283552164124349	0.296862796545772	-284.157592718185	0.296862796545772_0.296863368575519	0.500000000000002_0.499999999999998	0.99999712794503	0.0106206632243713	0.331444761510136	-290.431008050793	-0.114522490899245_0.331444761510136	0.484364510197273_0.515635489802727	0.011854254307774	0.00130289543741856	0.4235016562433	-286.056806507644	-0.591062963832107_0.4235016562433	0.39437613411147_0.60562386588853	6.14086559380667e-12	
smoking	stroke	125	0.594743212442615	0.296402147246466	-732.618955472478	0.296373978798109_0.296402147246466	0_0	0.499999999999828_0.500000000000172	0.000863664937227159	0_5.58518082897958e-05	0.498943019662717_0.501056980337283	0.999842300524927	0.549903224268721	0.296399651021742	-736.618955472707	0.29637646462148_0.296399651021742	0.499999999999925_0.500000000000075	0.999870192240887	0.729190041813229	0.465003611152016	-734.448034191865	0.109866717948836_0.465003611152016	0.499472419513656_0.500527580486344	0.0101518266294476	0.840794880118324	0.524650250302945	-738.262347348932	0.0554768138695526_0.524650250302945	0.499473367111975_0.500526632888025	0.000554851435309534	
