risk	disease	IVs	P_1	eff_1	mean_minClass	mean_maxClass	sd_minClass	sd_maxClass	min_interval	max_interval	CHVP_test	correct_factor	CHVP_test_correct	P_minClass	P_maxClass	P_minClass_mean	P_maxClass_mean	P_minClass_permut	P_minClass_permut	AIC_1	gamma_1	prop_1	corTest_1
height	cad	5377	0.0434708421789497	-0.063790544318779	-0.168193631102539	-0.0630819195057495	0.0304294610220401	0.0257648053062222	-0.223673658311419_-0.111679357682474	-0.108822340981399_-0.0130900988744501	0.00838333884104336	1.22971270075163	0.0120704441135983	3.16342572183928e-08	0.0133214271817937	3.40462486503129e-08	0.0143819338719025	0	0.026	-31850.6025374645	-0.168587842455554_-0.063790544318779	0.499123248581161_0.500876751418839	1.99706473580363e-10	
bmi	stroke	102	0.359565218776366	0.101656843933207	0.0861695489778612	0.132833169747368	0.0582459929373911	0.0905406061713806	-0.0561232203413172_0.178720254584156	0.0214745494406316_0.392147533688677	0.664692220389797	0.975550995790126	0.654549102069596	0.0839852934245176	0.264194439969384	0.142143817983806	0.1454527157825	0.13	0.016	-558.199171534372	0.101652958823335_0.101656843933207	0.499999999999988_0.500000000000012	0.999962924906515	
bf	stroke	10	0.858292076504281	-0.0272704990472411	-0.050748358542475	-0.050621472321175	0.083969903755753	0.0840672051744611	-0.281249995353957_0.0627726822605647	-0.281249995353957_0.0632054877802869	0.999147951792301	0.289811791341772	0.866795764610186	0.752780545924797	0.753059178801547	0.560526508473585	0.56193252432559	0.574	0.576	-50.9682747313732	-0.0272704990472411_-0.0272701081016345	0.500000000000003_0.499999999999997	0.99999873691274	
smoking	asthma	110	0.949287762321761	0.0670128873027494	-0.237350395309007	0.356782886765984	0.298820905981865	0.331831533618907	-0.843258192111666_0.254237781709475	-0.179519583642405_1.06905193501687	0.18335380624927	1.85636842548356	0.379781353516035	0.82307064496923	0.840333395709092	0.428752679882685	0.284662639839265	0.482	0.294	-557.284224893821	0.0669766851705997_0.0670128873027494	0.499999999999952_0.500000000000048	0.999871770779643	
sbp	t2d	1093	0.162162362912358	0.0134594701144978	0.0109327965356865	0.0183236576590722	0.00472084134633983	0.00821334657383978	1.62751345070179e-05_0.0177893926295182	0.00962106135698643_0.0383743281646553	0.435291151407797	1.39281283961193	0.573754492737579	0.0044696422806575	0.101557238758383	0.0207505620994509	0.0258861537505627	0.05	0	-4887.12190958958	0.0134491324394859_0.0134594701144978	0.499999999999752_0.500000000000248	0.998856090643435	
hdl	t2d	202	0.25770873025819	-0.143942394531316	-0.285031725715382	-0.078769271144711	0.19839859434089	0.0576607944251655	-0.715817261620009_-0.0837790942606156	-0.17970364882041_0.0259765439540033	0.318120016267825	1.01585132577568	0.323252588382525	0.46897618319527	0.0657263847436046	0.152368733196563	0.173440247245135	0	0.22	-870.797784384215	-0.143942394531316_-0.106694402063329	0.500063557705488_0.499936442294512	0.693942728414024	
dbp	t2d	1168	0.697626934321882	-0.0112446147266836	-0.00669814082633917	0.0307414957412931	0.0139514926727405	0.0136483193713505	-0.0331145740833535_0.0169715370444931	0.00667137913569641_0.0548635615823455	0.0550742301050996	1.08391960621449	0.0619913067940051	0.420418967494397	0.0106156310186352	0.631244773974491	0.0244821291390155	0.66	0	-5244.80633151432	-0.0112446147266836_0.0349291934743196	0.500029244958565_0.499970755041435	0.0082011175571477	
tg	t2d	132	0.650160244248697	0.126944124942482	-0.0684620945786558	0.231817420186388	0.123790302558289	0.155148959519376	-0.377911451533754_0.119083536461232	0.0390600680629075_0.574693972295566	0.130310713008091	0.807787124860092	0.0992582865185354	0.625255055584259	0.41472422348811	0.581172466609462	0.137538566682721	0.658	0.012	-528.879340627025	0.126944124942482_-0.0606043603599784	0.502382391995081_0.497617608004919	0.0960992351517405	
bw	cad	58	0.478287679319338	0.0701938571130737	-0.29956946837878	0.0270390814642859	0.180303716804856	0.0897410303758712	-0.752059118018387_-0.00320513466515714	-0.15663591927374_0.171615722026537	0.104873497408275	1.18378798597509	0.131579488927608	0.152859429893195	0.43734469316837	0.102109883782167	0.764281265457448	0.048	0.698	-294.069770064577	-0.261232621792863_0.0701938571130737	0.49722630043449_0.50277369956551	0.00544280517952322	
bw	t2d	54	0.159079454053514	-0.281087994338475	-0.777321779190164	-0.226798742677737	0.281437950417619	0.213728624623814	-1.39355250391104_-0.310303410950498	-0.546645040879621_0.334675037301869	0.119276621900279	0.746629232594787	0.0818489549690211	0.0120186924476389	0.194116902466759	0.00787856448114933	0.293432188490695	0	0.242	-201.910628361702	-0.732039235713906_-0.281087994338475	0.475047547386705_0.524952452613295	0.393915816162709	
