risk	disease	IVs	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
tg	cad	134	0.00310302478573462	0.251062386034418	-662.316600434457	0.432063658117149_0.251062386034418	0.492943847289388_0.507056152710612	0.222100407582751	0.0750597784573007	0.00365490068893157	0.454085590458573	0.105575717229624	3.26620100524557e-05	1.23727946836615	0.0993377198604432
bmi	t2d	103	3.11302804918803e-17	0.888596421382053	-433.828968304417	0.140700004838407_0.888596421382053	0.343156573703328_0.656843426296672	0.0837059746959727	0.531479328342467	0.875165157882092	0.921485386076615	0.128375611105052	1.17307159425068e-10	0.850957916704593	0.101942116128372
bf	cad	10	0.0465195582252609	0.447855216444338	-31.8731423884954	-0.665049765068029_0.447855216444338	0.494887881799854_0.505112118200146	-0.721276523700262	0.49196435737504	0.176664296829367	0.40022538756481	0.243692226943955	0.134935407182977	0.399513533059083	0.0115899888185581
bf	t2d	10	0.0256350142593287	1.55745366188419	-18.8303724028419	-1.93006794946002_1.55745366188419	0.303740398264193_0.696259601735807	-1.28413861185255	1.20768284206903	0.315338739682731	1.3165805615865	0.595549532309515	0.0543832169816717	0.272550280377619	0.00974061972173644
fg	t2d	21	0.529192919625227	0.165556429243857	-33.5647897305759	0.165556429243857_2.07496536162404	0.519970989686237_0.480029010313763	0.473506705047317	0.520921961983875	0.374185716600508	3.18518981210897	1.38849495413672	0.032752866177881	0.63341346247503	0.0360543860762081
height	cad	5377	0.0434708421789497	-0.063790544318779	-31850.6025374645	-0.168587842455554_-0.063790544318779	0.499123248581161_0.500876751418839	-0.168193631102539	0.0304294610220401	3.40462486503129e-08	-0.0630819195057495	0.0257648053062222	0.0143819338719025	1.22971270075163	0.0120704441135983
bmi	stroke	102	0.359565218776366	0.101656843933207	-558.199171534372	0.101652958823335_0.101656843933207	0.499999999999988_0.500000000000012	0.0861695489778612	0.0582459929373911	0.142143817983806	0.132833169747368	0.0905406061713806	0.1454527157825	0.975550995790126	0.654549102069596
bf	stroke	10	0.858292076504281	-0.0272704990472411	-50.9682747313732	-0.0272704990472411_-0.0272701081016345	0.500000000000003_0.499999999999997	-0.050748358542475	0.083969903755753	0.560526508473585	-0.050621472321175	0.0840672051744611	0.56193252432559	0.289811791341772	0.866795764610186
smoking	asthma	110	0.949287762321761	0.0670128873027494	-557.284224893821	0.0669766851705997_0.0670128873027494	0.499999999999952_0.500000000000048	-0.237350395309007	0.298820905981865	0.428752679882685	0.356782886765984	0.331831533618907	0.284662639839265	1.85636842548356	0.379781353516035
sbp	t2d	1093	0.162162362912358	0.0134594701144978	-4887.12190958958	0.0134491324394859_0.0134594701144978	0.499999999999752_0.500000000000248	0.0109327965356865	0.00472084134633983	0.0207505620994509	0.0183236576590722	0.00821334657383978	0.0258861537505627	1.39281283961193	0.573754492737579
hdl	t2d	202	0.25770873025819	-0.143942394531316	-870.797784384215	-0.143942394531316_-0.106694402063329	0.500063557705488_0.499936442294512	-0.285031725715382	0.19839859434089	0.152368733196563	-0.078769271144711	0.0576607944251655	0.173440247245135	1.01585132577568	0.323252588382525
dbp	t2d	1168	0.697626934321882	-0.0112446147266836	-5244.80633151432	-0.0112446147266836_0.0349291934743196	0.500029244958565_0.499970755041435	-0.00669814082633917	0.0139514926727405	0.631244773974491	0.0307414957412931	0.0136483193713505	0.0244821291390155	1.08391960621449	0.0619913067940051
tg	t2d	132	0.650160244248697	0.126944124942482	-528.879340627025	0.126944124942482_-0.0606043603599784	0.502382391995081_0.497617608004919	-0.0684620945786558	0.123790302558289	0.581172466609462	0.231817420186388	0.155148959519376	0.137538566682721	0.807787124860092	0.0992582865185354
bw	cad	58	0.478287679319338	0.0701938571130737	-294.069770064577	-0.261232621792863_0.0701938571130737	0.49722630043449_0.50277369956551	-0.29956946837878	0.180303716804856	0.102109883782167	0.0270390814642859	0.0897410303758712	0.764281265457448	1.18378798597509	0.131579488927608
bw	t2d	54	0.159079454053514	-0.281087994338475	-201.910628361702	-0.732039235713906_-0.281087994338475	0.475047547386705_0.524952452613295	-0.777321779190164	0.281437950417619	0.00787856448114933	-0.226798742677737	0.213728624623814	0.293432188490695	0.746629232594787	0.0818489549690211
tg	stroke	119	0.833331531899048	0.0115285038621575	-662.874453364304	0.0115285038621575_0.0115292480725628	0.500000000000007_0.499999999999993	0.00624665846088884	0.0254215619899486	0.806323670697996	0.0240586206769099	0.0481479593456708	0.618230172983792	0.919783508621203	0.711121078274118
bmi	asthma	101	0.693062986818555	0.132819128253455	-533.97959769039	0.132819128253455_0.132866462471684	0.50000000000007_0.49999999999993	0.0564331822468928	0.109890807624719	0.608707345568378	0.197228378033087	0.10078372234809	0.0531420849534911	1.12504849664961	0.387083435781734
fg	cad	21	0.324283746935943	0.3229170865845	-97.49830766659	0.0847069648836509_0.3229170865845	0.454225525718697_0.545774474281303	0.091253491147591	0.222807466435429	0.686480510198509	0.340582783439372	0.0815271075198869	0.000464480385148301	0.826077355639419	0.239591246795651
fg	stroke	20	0.182395984326606	0.176962577628331	-93.4394573186062	-0.0596119267969338_0.176962577628331	0.478350790633405_0.521649209366595	-0.0569610024671675	0.156371713688566	0.719681306889898	0.181558608836757	0.164260632722725	0.282826519517935	0.659615619929533	0.187977116720673
bf	asthma	10	0.492308979802922	0.14591302629765	-43.6976137627881	0.14591302629765_0.145913573993241	0.500000000000009_0.499999999999991	0.0954244679747198	0.177300136711802	0.603486491254744	0.0968643171171876	0.178690436229967	0.600925759182419	0.297023708576261	0.791525024972162
bw	stroke	56	0.832009124895793	-0.243639330335619	-291.842888366573	-0.243639330335619_0.0252617493104937	0.505436738045703_0.494563261954297	-0.25775635138713	0.11029063895482	0.0231044226466213	0.0276491635052042	0.149791875676056	0.85423437764292	0.990208099665929	0.123370468243844
alcohol	stroke	53	0.720771036110345	0.0605201772774276	-294.804463652076	0.0605201772774276_0.060520251684979	0.5_0.5	-0.0149044562836478	0.154720444227665	0.923627584064689	0.143535503977066	0.161011426392263	0.376788092589588	0.875619476134738	0.426884921914054
height	stroke	5357	0.858755644735097	-0.0140236908271234	-30509.1643622215	-0.081510225890617_-0.0140236908271234	0.499920201756014_0.500079798243986	-0.116703764399732	0.0466279520719916	0.0123485840419611	0.021753207957677	0.0477444341193749	0.648683402614484	1.40636945913558	0.064900978440715
ldl	t2d	180	0.542696131252568	-0.227521721285585	-785.260956315504	-0.227521721285585_-0.061173308197077	0.50021343539527_0.49978656460473	-0.216861848348064	0.0574817254987724	0.000219327673240054	-0.0581683335980432	0.0828373531495035	0.483466954813449	0.890809749938095	0.0993114009475842
alcohol	t2d	43	0.712908079409812	0.0648796467043494	-184.65582930723	0.0648796467043494_0.148827340514272	0.513057128333776_0.486942871666224	-0.0430657435752485	0.305709803245992	0.888645084519228	0.288937181133009	0.292539637735248	0.3289627669766	0.949419274875485	0.413103057745975
alcohol	cad	54	0.00395975323277127	0.341308833398019	-290.689131480308	-0.192569564859948_0.341308833398019	0.487174577691425_0.512825422308575	-0.22948687401684	0.315002615382207	0.46949994206446	0.354833884285662	0.0893033031744757	0.000215389367107624	1.15159932738768	0.0907821460402069
alcohol	asthma	41	0.899981327727468	-0.258583416056083	-211.166832308695	-0.258583416056083_0.124647987108875	0.500131229594463_0.499868770405537	-0.225264363404028	0.217149823499549	0.305794839382242	0.084647676020554	0.253246685898968	0.739937244892441	0.833741707539817	0.294675939977265
height	asthma	5244	0.48874456162204	0.0359315633845518	-26609.4420894498	-0.115805190169632_0.0359315633845518	0.499194858346752_0.500805141653248	-0.113276089547369	0.0436595190590455	0.00949830646169681	0.0335833624161384	0.037432964494464	0.369674682067303	1.39589542074007	0.0191972534971324
sbp	asthma	1054	0.429389383222316	-0.0125586518304312	-5488.32237866073	-0.0125586518304312_0.0186843269811155	0.500090612891409_0.499909387108591	-0.01153253487523	0.00598246163764754	0.0541581641268481	0.0181573791904272	0.00620966815725989	0.00352908576619646	1.4240221743785	0.00119628561765283
dbp	asthma	1116	0.885112269718107	0.00621902672773424	-5622.98905296392	-0.0114505437492708_0.00621902672773424	0.499995959494504_0.500004040505496	-0.0154993987791504	0.0106422085766263	0.145561362804096	0.0115945061291164	0.0111237267748807	0.29748831595775	1.52796780021837	0.143605379278828
fg	asthma	17	1	-0.27578186352938	-64.8579287357605	-0.27578186352938_0.242180153364721	0.551207597518461_0.448792402481539	-0.27465100514665	0.155952969451811	0.0973146431215793	0.233664027127324	0.410571781205169	0.577178395206011	0.621323624821097	0.145326665944738
tg	asthma	125	0.893544440311715	-0.0113781130425666	-561.28173949853	-0.184012738620864_-0.0113781130425666	0.498737278636385_0.501262721363615	-0.26189643583859	0.148067900622888	0.0793928739835066	0.00342356595901611	0.0570842648717935	0.952272973222552	1.08342646271374	0.105442357953601
height	t2d	5358	0.364088112133041	0.0562399021109097	-25828.4605641375	-0.0789038854136612_0.0562399021109097	0.499629433082113_0.500370566917887	-0.0973573811285006	0.0653595391002438	0.136397120214289	0.0761511545276415	0.0605185641886447	0.208334265772173	1.07249593637931	0.0570365491831149
ldl	asthma	174	0.982305720027885	-0.00189376196309235	-812.979933321681	-0.00189429911773252_-0.00189376196309235	0.499999999999998_0.500000000000002	-0.0272461653723161	0.0565236172107025	0.630392816380415	0.012466377871843	0.0370874248858054	0.73717648174651	1.17363161068357	0.624474838144369
bw	asthma	51	0.817633513208487	0.206367522031063	-253.164655562832	-0.059109474144535_0.206367522031063	0.498725571501605_0.501274428498395	-0.0519671787530801	0.165406379191008	0.75469242113945	0.209472945589893	0.144191972971796	0.152544220440818	0.972195210458866	0.226175878241427
hdl	asthma	197	0.835074309888388	-0.0149365498594935	-938.944443535068	-0.0149365498594935_-0.0149343419917825	0.500000000000002_0.499999999999998	-0.0405833702979122	0.0458181663138266	0.3768384963228	0.0426827172721406	0.0909075379822002	0.639221389553379	1.50372947340464	0.584412935545403
hdl	cad	209	0.126286459376754	-0.0700987577496635	-1006.11800100888	-0.469320532083772_-0.0700987577496635	0.477942801265465_0.522057198734535	-0.457929625848543	0.0869342160766	3.44239371746954e-07	-0.0686069724088796	0.053262907594149	0.199148653409746	1.30494919402174	0.000237517668383378
hdl	stroke	207	0.34445644318827	-0.045427242316219	-1153.54527916396	-0.045427242316219_-0.0454223264087779	0.500000000000043_0.499999999999957	-0.0592824126873882	0.0303751510687212	0.0523323813992613	-0.0359551218693899	0.0275762760406327	0.193742389820783	1.05883117109791	0.593528629888858
