simNum	IVsNum	P	eff	correlated_eff
59	92	0.114358977314582	0.0252755616734151	-0.00164467994060813	
88	111	0.0600114328882302	0.0264120812485345	-0.00125458038836021	
79	96	0.408696499433246	-0.0120959370772451	-0.000663881826542361	
70	113	0.720822949492975	-0.00485029376301534	-0.00134550990141919	
99	140	0.254464642137721	0.017944001232444	0.00390800096517941	
9	104	0.935186920539124	0.00122919908340068	0.000319315198885581	
39	108	0.376283099444817	-0.0128876922144625	0.00142268155975035	
20	101	0.456185456653526	0.0114113431881964	0.000907819707019449	
50	96	0.330734589523451	0.0274657231304851	-0.00194158539091401	
89	99	0.835682567794973	-0.00333601668024352	0.00208319704845606	
29	118	0.349282776155318	0.0127529783240915	-0.00111090255703254	
80	96	0.118463865853232	0.024333430775996	0.00020256416186481	
60	120	0.860156027323997	-0.0026313791025955	-0.00162294144656288	
100	105	0.598465126993567	-0.00753343153060516	-0.00105764700446137	
10	114	0.837021544735659	-0.00289523504373636	-0.00243781928584178	
40	110	0.244017675168587	-0.0171029353199278	0.00138248305377083	
30	112	0.467986544575475	0.00975609061923302	-0.000888367868964199	
90	122	0.80567222237058	-0.0036043370711074	0.00238842154408145	
