"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"AIC_1"	"gamma_1"	"prop_1"
"25"	113	1.00170344363769e-08	0.25426438294936	0.165856287723419	0.0459630162801169	1.13553628104489e-05	0.000461834545913431	0.29909057764721	0.0410578065430372	1.00170344363769e-08	4.81397058491709e-11	0.133545911105127	0.0306322725182971	-668.997458906499	"0.211262102607838_0.25426438294936"	"0.499784412995329_0.500215587004671"	NA
"57"	116	0.000551333340812321	0.077213380466861	0.0823743658678038	0.0217249659830445	0.000551333340812321	0.000240021495249292	0.322780965182474	0.0274345576794448	3.36486751022493e-22	1.85158990578052e-21	0	6.4291950947249e-12	-694.218667608888	"0.077213380466861_0.33149588015356"	"0.509447607864835_0.490552392135165"	NA
"49"	99	6.85988928751452e-23	0.32222876858985	0.0582497287556728	0.039021182321184	0.161619364120109	0.138709350593796	0.317867678364722	0.0249369519260995	6.85988928751452e-23	1.5924654649706e-22	0	2.06775747098121e-08	-572.421880661695	"0.0550312957475254_0.32222876858985"	"0.49705744247973_0.50294255752027"	NA
"87"	109	9.30584363416705e-08	0.113423890064618	0.117958848522523	0.0198046529712481	9.30584363416705e-08	3.27538558314673e-08	0.343908813952078	0.028332687064968	9.59343991706712e-23	6.63038864878715e-22	0	6.30426848385771e-11	-654.019579957751	"0.113423890064618_0.354535942011029"	"0.509034445777487_0.490965554222513"	NA
"95"	115	5.30553606955737e-13	0.288491610760086	0.134870736772629	0.0327921039250639	2.89603617800599e-05	7.40480378538725e-05	0.303630235155312	0.0354100148534784	5.30553606955737e-13	5.61515806816373e-14	1.84388604385077e-08	0.000470947776004356	-676.984121680262	"0.142882836211284_0.288491610760086"	"0.497244350007256_0.502755649992744"	NA
"3"	110	0.0073541644686636	0.0886558668411155	0.115158622634646	0.0324559361130838	0.0073541644686636	0.000573565153632226	0.252026337818928	0.0361636101133523	5.27434510963403e-12	2.55373700042858e-10	0	0.00485251692914494	-665.424530197147	"0.0886558668411155_0.28008939572844"	"0.501867223328181_0.498132776671819"	NA
"80"	99	2.58881931591156e-14	0.339465597857246	0.0466376702195229	0.0413032587466965	0.355684388163465	0.261589990184541	0.328407440727995	0.0380317850357139	2.58881931591156e-14	1.09986724283944e-13	0	5.20718789410336e-07	-536.652999172286	"0.0383296783789501_0.339465597857246"	"0.499519596813475_0.500480403186525"	NA
"11"	112	0.000643382348358815	0.0917707607808213	0.101922185356046	0.026127757463972	0.000643382348358815	0.000164618321686791	0.359027627965888	0.0358983916125727	6.27929086191382e-18	3.55806563413405e-17	0	7.01055332449943e-09	-644.285052251789	"0.0917707607808213_0.3707466019791"	"0.504209701254554_0.495790298745446"	NA
"19"	124	5.19364827921312e-20	0.337520058230064	0.0820843246928904	0.0336247008540753	0.0193331829397539	0.0160623921334168	0.327243456145457	0.0306903531719997	5.19364827921312e-20	3.37502949702318e-19	0	7.23788492978317e-08	-717.070163936338	"0.0796972256867167_0.337520058230064"	"0.499859421144533_0.500140578855467"	NA
"34"	105	9.87461463921598e-15	0.313890882020787	0.0584467697411936	0.0360653941893463	0.205448581793276	0.108136508837292	0.304990632579907	0.0347640407423484	9.87461463921598e-15	3.6562956073131e-14	0	8.57609384800182e-07	-600.942980426212	"0.045952881010555_0.313890882020787"	"0.493913658030731_0.506086341969269"	NA
