simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
17	106	0.0292952284304964	0.0722447617720572	0.0754691566271888	0.0326939461374412	0.0292952284304964	0.0229391767795791	0.274918008931358	0.044761545095847	8.39683786996772e-09	1.47995147307102e-08	4.01900734914307e-13	0.000320416963759499	-612.520948515192	0.0722447617720572_0.280373531597609	0.502434991836995_0.497565008163005	
93	103	4.42976255521123e-11	0.387544745133639	0.102545028451062	0.0437488132849206	0.0320129920988178	0.0210193149022016	0.382915248676749	0.0525287089805643	4.42976255521123e-11	6.81415873625684e-11	0	4.10801154848242e-05	-564.684539316985	0.0951126747698437_0.387544745133639	0.499507621575653_0.500492378424347	
63	103	0.00750938337168252	0.0551061859803318	0.0564857543986986	0.0202019807345348	0.00750938337168252	0.00618305406814248	0.253037639939443	0.0393070921198321	2.41223558088651e-09	4.0248795643507e-09	2.26485497023532e-14	8.69106125545902e-06	-603.752847635853	0.0551061859803318_0.257322477383808	0.515102432757388_0.484897567242612	
70	135	0.0518231780952033	0.0850608442399394	0.0925103686680731	0.0433519395040805	0.0518231780952033	0.03466911857074	0.297898479326463	0.0453660627001725	9.58320013665213e-10	1.04020049170192e-09	7.105427357601e-15	0.00106353903905561	-756.115265887253	0.0850608442399394_0.298630679206941	0.500187568060209_0.499812431939791	
25	88	0.0269601516926427	0.0838042315931626	0.0980148005224648	0.0372434175158749	0.0269601516926427	0.0100489128278531	0.271603067834559	0.0539735358884827	1.21232769126544e-06	2.58681954761059e-06	2.54642973374075e-11	0.00811780995043245	-507.353304287604	0.0838042315931626_0.281644084121044	0.501206234982315_0.498793765017685	
41	96	0.000255569167013691	0.191625991167759	0.110705025541738	0.0348259272999477	6.7604139784132e-05	0.00199649862811767	0.230629940323845	0.0504317479314913	0.000255569167013691	1.44848437689158e-05	0.140937963550239	0.0503772120633394	-551.471519958707	0.145179462718876_0.191625991167759	0.497707878973858_0.502292121026142	
2	118	0.0269021704223701	0.0428158938792189	0.0457379794571383	0.0191043386492275	0.0269021704223701	0.0182494587124284	0.315380210198274	0.0395341390485153	8.94698732939559e-13	1.12815711346748e-12	0	8.19753365997197e-10	-679.968254787612	0.0428158938792189_0.317126673143913	0.513366633116385_0.486633366883615	
48	104	0.0128033734939024	0.0837832801083579	0.079372291300256	0.0330715176121649	0.0128033734939024	0.0181897845246448	0.180353064037995	0.0551217639568117	0.0017847003009274	0.00145411019626584	0.00169673838435602	0.116203404404202	-588.513658218405	0.0837832801083579_0.176800977515473	0.503577069823053_0.496422930176947	
79	112	0.000977396685864474	0.0907666106445734	0.087692502313993	0.0267963585610613	0.000977396685864474	0.00142098620725232	0.239048674344369	0.0332461088284123	5.04283932067454e-11	7.99388042618145e-11	5.40731237563818e-10	0.000393233053918708	-677.546928648066	0.0907666106445734_0.242108405146736	0.50457179682468_0.49542820317532	
86	110	8.41237533323771e-05	0.10527899657746	0.109218438040852	0.0257661925019844	8.41237533323771e-05	4.72202681085511e-05	0.303374730421485	0.0403652761166411	1.65152046929119e-11	1.68113891890828e-11	2.37587727269783e-13	5.02652171441692e-05	-656.426564729005	0.10527899657746_0.303517259380496	0.515553790378606_0.484446209621394	
