"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"AIC_1"	"gamma_1"	"prop_1"
"25"	107	1.8873151476265e-10	-0.145499597033129	-0.142255422383999	0.0206358627359427	1.8873151476265e-10	4.06024195805829e-10	0.166380213833269	0.0366928735683489	1.87367435674923e-06	1.52585970500025e-05	0	2.27701131236038e-13	-619.488372759085	"-0.145499597033129_0.185180420967083"	"0.537224551344173_0.462775448655827"	NA
"63"	90	6.06955860228289e-06	0.16396879863397	-0.120339432602505	0.0372760608686263	0.000686657797222389	0.00174417092122733	0.156654351642278	0.0340767599338056	6.06955860228289e-06	1.40848374635694e-05	0	4.14619345697623e-08	-515.95801610614	"-0.131144127567112_0.16396879863397"	"0.497473289006278_0.502526710993722"	NA
"56"	90	0.677063422268777	-0.0233337146895849	-0.0960650013930953	0.039723642118959	0.137767793699698	0.0176290187805813	0.017529091964794	0.0558423640846602	0.677063422268777	0.754329200377808	0.323194254891837	0.0974010298107226	-513.253956265601	"-0.05949131355813_-0.0233337146895849"	"0.492875523506486_0.507124476493514"	NA
"10"	90	0.00055223686438934	-0.120244452830616	-0.110436719207655	0.0335529476369616	0.00055223686438934	0.00143022526579797	0.201477381692113	0.0374469750808104	2.92584641448068e-07	5.95739005244743e-07	0	5.52053031482179e-10	-507.85465648184	"-0.120244452830616_0.207789731922122"	"0.511997042749022_0.488002957250978"	NA
"94"	102	7.27874289222624e-09	-0.11957832934151	-0.119078269361083	0.0189325416396627	7.27874289222624e-09	8.22567630418504e-09	0.138123098493982	0.0520974342780119	0.00902676729702226	0.00931231112590289	0	3.48347475312896e-06	-594.96046897168	"-0.11957832934151_0.138709130191673"	"0.512041988204034_0.487958011795966"	NA
"41"	111	0.124086626664682	-0.0637551142533152	-0.0671485077551394	0.041140372491961	0.124086626664682	0.105501056817115	0.0809675751699015	0.0633907374993237	0.19802371416696	0.204193610709872	4.18211713322236e-05	0.0499993423229851	-612.967057942649	"-0.0637551142533152_0.0820924784908589"	"0.501028278307166_0.498971721692834"	NA
"79"	118	0.000800980252905298	-0.10500242656468	-0.100493946990312	0.0305040688439786	0.000800980252905298	0.00130520885599718	0.095646125095316	0.0426015679993628	0.0168855305482764	0.0266385547939849	8.88178419700125e-16	0.000181559786785113	-693.277847859438	"-0.10500242656468_0.103262353127859"	"0.505929232152312_0.494070767847688"	NA
"18"	109	0.000194012003518343	-0.104932854232326	-0.100793154591262	0.0271904838529777	0.000194012003518343	0.000332874773480851	0.100026404829067	0.0454600746902419	0.0239699624223173	0.0299143490257202	6.15063555642337e-14	0.000149973547046047	-630.150865356916	"-0.104932854232326_0.104099425930862"	"0.509019061681401_0.490980938318599"	NA
"33"	101	0.0783333247163465	-0.0738533325564721	-0.0721768909050276	0.041521751258126	0.0783333247163465	0.0852375381368088	0.107639813030426	0.0457440162047071	0.0156948071707099	0.0205752284922793	3.77217590497025e-10	0.00360651624957164	-581.200308727741	"-0.0738533325564721_0.11243462155767"	"0.501233924633775_0.498766075366225"	NA
"2"	110	0.00117206754440212	-0.0974654952521097	-0.0994429763732095	0.0292377019860823	0.00117206754440212	0.000938774518740541	0.132261819059105	0.0365716524878377	0.00282410463802285	0.000453910567210209	3.48232553903927e-12	7.47500207677203e-07	-620.715134876588	"-0.0974654952521097_0.111749677927772"	"0.510116859530302_0.489883140469699"	NA
"48"	107	0.0114867357055605	-0.0950411114615289	-0.0979221647297583	0.0369477753045692	0.0114867357055605	0.00927414591132085	0.100600945684722	0.0561483110568384	0.119611680345024	0.0760343250017013	2.34175841828943e-07	0.00314109597019004	-589.884797283768	"-0.0950411114615289_0.0881007207972455"	"0.503078258655311_0.496921741344689"	NA
"71"	128	0.00112034184882173	-0.0963234126304462	-0.0818453211856141	0.0288868162275134	0.00112034184882173	0.00536021571637528	0.16890392372429	0.0334657238081861	5.38762310719121e-07	1.51742759376895e-06	0	1.41179037575339e-08	-743.768162185507	"-0.0963234126304462_0.176751987056307"	"0.502120497711779_0.497879502288221"	NA
"26"	123	5.92855890009572e-06	-0.0984834632028902	-0.092697355574706	0.020792450744662	5.92855890009572e-06	1.84867061076452e-05	0.09117707459227	0.0456587588131466	0.0452077924749058	0.0480591805657528	1.33226762955019e-15	0.000247325621802371	-733.589093087862	"-0.0984834632028902_0.0923899787585414"	"0.509076871671416_0.490923128328583"	NA
"87"	114	4.49963387271547e-05	-0.114854679420227	-0.115536505630679	0.0270553974781672	4.49963387271547e-05	4.08346431739309e-05	0.120433498120355	0.0470339102433821	0.010940088698607	0.0117690026182565	5.55111512312578e-15	1.36853568565431e-05	-644.635089192651	"-0.114854679420227_0.121693322838884"	"0.505256585456693_0.494743414543307"	NA
"64"	119	0.00989492794928859	-0.0839532025374416	-0.0792417768496002	0.032019337525972	0.00989492794928859	0.0147516375921846	0.0943634544136031	0.0406465672628753	0.0263419111306833	0.0219722688391914	6.99273972060155e-10	0.000793313872609602	-685.834451357674	"-0.0839532025374416_0.0914302529101255"	"0.500516757682214_0.499483242317786"	NA
"57"	116	0.950677136214769	-0.00345833285857062	-0.0940209753046567	0.0360941607566075	0.183266712668551	0.0104044774485462	0.0439148842750773	0.0557871217481899	0.950677136214769	0.432791883031125	0.118003812589698	0.0379006246281735	-654.811598937552	"-0.0483239305066327_-0.00345833285857062"	"0.499404699319006_0.500595300680994"	NA
"95"	103	0.00131344425106625	-0.0760854754183996	-0.0764071674993928	0.02302481680384	0.00131344425106625	0.00125559960498466	0.171614740710657	0.0422498195303142	0.000148496003036942	9.57227173057388e-05	2.1049828546893e-13	2.54143779507762e-07	-576.161875747084	"-0.0760854754183996_0.166532792410534"	"0.519126608470495_0.480873391529505"	NA
