simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
32	86	0.308576332283249	0.0456957630094267	-510.388905973493	0.0456957630094267_0.0629837766620326	0.506064478610893_0.493935521389107	0.00896894747975579	0.0446095123852307	0.841136214913977	0.101533608419584	0.0327498512692787	0.00262245837117234	1.35537349277176	0.143463854536125
31	101	0.139288450262722	-0.0508966128550871	-609.028054452967	-0.0508966128550871_0.123283260036135	0.500722990972052_0.499277009027948	-0.0371113147990227	0.0341515374524182	0.27979685725581	0.10880119132976	0.0374833815469653	0.00455254116514001	1.11646047384959	0.0048965905702852
33	107	0.112769724223192	-0.0505629134554342	-670.16821795575	-0.0505629134554342_0.123511606182613	0.502044916839072_0.497955083160928	-0.0279929970552064	0.0316191411753311	0.37798902688363	0.101098259401563	0.0385765020328067	0.0100631338893471	0.921734546046372	0.00841800014254585
35	105	0.278764025435977	0.0218899933815692	-657.654492063681	0.0218899933815692_0.0218921093611969	0.500000000000001_0.499999999999999	0.0104797170723755	0.020104919460323	0.603299857906575	0.038122006420197	0.0329507942304555	0.249948391562977	1.53650639217609	0.658466711951474
36	93	0.164994780475365	-0.027898603639671	-580.56314517273	-0.027898603639671_0.0819954515009659	0.511539101304751_0.488460898695249	-0.023117888648772	0.0199332091043942	0.249144511717562	0.0756639659706948	0.0352168060064084	0.0342988114921597	1.69715041605137	0.0371832229701193
34	94	0.396497215994098	-0.0289253153176479	-576.292008207224	-0.0289253153176479_0.0741993970112899	0.504930941847776_0.495069058152224	-0.0299820702550428	0.0339567154747503	0.379540137200853	0.0770142547345569	0.0312582410025889	0.0155851496664557	1.37755795549707	0.0348683096053385
38	102	0.0482633361105004	0.0527436317303402	-623.670014305373	0.0347907805833959_0.0527436317303402	0.495630879332055_0.504369120667945	0.019080207610005	0.0274147284633538	0.488037433232603	0.0644037881851548	0.0263811947904912	0.0163749505533642	0.798602769490918	0.181121125362251
37	99	0.00345691008996912	0.122219660697079	-602.453149790157	-0.0475361322714288_0.122219660697079	0.499896448557539_0.500103551442461	-0.0283867830459571	0.0371040033029411	0.446074398513461	0.103660464289057	0.0407841771954229	0.0125996034465947	1.31913274929322	0.0265486426706332
42	87	0.195292666462279	0.0358770754249157	-540.906854098678	0.0358770754249157_0.0358847674879319	0.500000000000001_0.499999999999999	0.0302495213444272	0.0274869658635948	0.274183354713186	0.0408897796273684	0.0225301480824086	0.0730267887504367	1.19020055876929	0.826459469537457
39	119	0.168843510613234	0.0254246400367286	-761.017735246768	0.0254246400367286_0.0254376265872154	0.500000000000002_0.499999999999998	0.0174936346718333	0.0183648817608599	0.342760678560258	0.0327973200475179	0.0225028990140329	0.147642629445374	1.42539600552488	0.746189478712103
