simNum	IVsNum	P_random	eff_random	AIC_random	P_fixed	eff_fixed	AIC_fixed
69	113	0.182074067843381	0.0207563813658202	-707.748208947291	0.172053370174484	0.0209363284605305	-709.258739381098
4	98	0.494615598975199	0.0125771938274059	-602.103407470248	0.512426426108786	0.0113650390064665	-602.91907139736
79	90	0.00873024191435906	0.0463567204973897	-554.682196767229	0.00447927314297367	0.0473854031307959	-554.757732011459
74	104	0.236612237124361	0.0213950213588568	-626.405094586269	0.136407376453928	0.0257555376382434	-622.539260064633
55	105	0.165672017080022	0.0241733822458786	-643.214484130932	0.165672017174515	0.0241733858244971	-645.214484129811
28	106	0.212637879923666	0.018489578495221	-667.327393976182	0.212637879925093	0.018489578495221	-669.327393976182
59	103	0.506815081543916	0.0109962970451491	-637.633028105832	0.566399373507328	0.00919807955263134	-636.651543378351
38	102	0.0108330754190475	0.0437942246374499	-628.54291031369	0.0143880075343089	0.0409248756911913	-629.992359774523
7	125	0.00964271254010087	0.0399361434563872	-776.572681739149	0.00960499451127094	0.0388444929194854	-777.414944180047
90	110	0.778173568953529	0.00452221700925958	-685.512652797048	0.778173568892831	0.00452221967133029	-687.512652797075
92	123	0.561498884345767	0.00896458196966366	-757.822069012574	0.528294491518817	0.00940185370184502	-757.97518062955
14	106	0.0350863422254721	0.0324180612629768	-675.624797759538	0.0350863422254121	0.0324180612629768	-677.624797759538
19	118	0.0290224780488603	0.0387980393942993	-697.88553280006	0.0290224778185246	0.0387980395627221	-699.885532771728
83	96	0.0108620186514865	0.0418796136759754	-609.893787598054	0.00936842972780287	0.0418796136759754	-611.893787598054
63	109	0.0728053097508656	0.0279737275410301	-685.591709230314	0.0930661756665176	0.0258804750516721	-687.19259203131
49	102	0.146158828319613	0.0274504244416059	-623.911907031893	0.12119222949092	0.0279678241117721	-624.925729035626
70	108	0.055793493395636	0.032092805836011	-668.611150493531	0.0557934933856153	0.0320928089648413	-670.61115049382
44	123	0.0141039916714591	0.0428167552535448	-721.90355002341	0.0140413682841259	0.0420377922128063	-723.844143358018
39	119	0.0586435551778619	0.0254483190242142	-767.01963845499	0.0586435551778619	0.0254483190242142	-769.01963845499
8	109	0.538631605081821	0.00998605612500981	-670.82355166557	0.538631605081821	0.00998605612500981	-672.82355166557
33	107	0.0279519837968819	0.0366296280244929	-675.841762995465	0.0371142501365324	0.0343428385875735	-675.501742311705
64	99	0.0145808409320318	0.0417835533934877	-617.422055891899	0.0207093333504024	0.0379497541415909	-613.591383799264
75	128	0.0911732244873519	0.0258260766717731	-784.652014171441	0.0910964995241814	0.0258260783038103	-786.652014171751
5	98	0.000787843663812108	0.0628633655443481	-600.946275676267	0.000787843670751672	0.0628633617339657	-602.946275668524
80	138	0.774951638158069	-0.00683725944258425	-799.872131048407	0.774951671030517	-0.00683726279022445	-801.872131021061
100	97	0.000645377989747738	0.0617661665819737	-606.591080088505	0.000278512311791225	0.0627383026248542	-607.376516675022
93	104	0.268985600344667	0.0192857103024105	-636.251155262962	0.247361290472247	0.0193508058755316	-636.484063919559
45	105	0.000121081180677611	0.0563361825404949	-699.835272949755	0.00012065943096718	0.0563361825404949	-701.835272949755
84	116	0.00284671881644021	0.0496656962605199	-712.305652607795	0.00284671879863184	0.0496656962643614	-714.305652620854
60	103	0.403311064673927	0.014964787588556	-615.458890320924	0.403311065624269	0.0149647874914375	-617.458890336008
34	94	0.247856525390269	0.0215419983594287	-580.122767957693	0.196929905595734	0.0232908647455956	-580.297960361408
15	115	0.050012962753223	0.0304979887569987	-709.520275637615	0.049965506696027	0.0304979939940502	-711.520275637747
29	118	0.0258131840895558	0.039521369376616	-715.900823859403	0.0162157988576099	0.0402668583637819	-717.850497418652
50	104	0.216821329182231	0.0222098435055233	-621.479833539866	0.216821329466366	0.0222098410130267	-623.479833538177
24	118	0.00234164722422442	0.0527704479613477	-708.794797788154	0.00277516966734165	0.0497754420739553	-710.096669956749
85	122	0.00149081932341485	0.0486579250435007	-777.897717274927	0.00149081931431759	0.0486579251789451	-779.897717273598
35	105	0.188807398095848	0.0218592949779455	-663.651173612105	0.188807398095848	0.0218592949779455	-665.651173612105
65	113	0.22158761315796	0.0205748211571416	-695.644249867596	0.221587612635658	0.0205748197001269	-697.644249870495
40	115	0.0573130602235681	0.0270165504309842	-732.088185880618	0.057782887050444	0.0261471195256178	-733.102419865127
9	96	0.288644119195486	0.0175198166176961	-606.898164756061	0.282562098545851	0.0172262090097078	-608.496751849068
94	120	0.0115427034564448	0.0432484933760553	-735.197391026876	0.00389867315001807	0.0475079927885137	-735.002026741729
25	112	0.000133584158174758	0.069695555031275	-679.059178289667	9.49897032520506e-05	0.0690003167037144	-679.073975160546
20	122	0.0541862456805152	0.0309260108797012	-752.69635662047	0.0665969948219508	0.028520677897174	-753.400937194627
95	115	0.00690243627363892	0.0487184453776966	-684.644022220144	0.00736785434276459	0.046181506341156	-683.274747477998
30	117	0.124696274279878	0.0249395629951957	-728.957137485947	0.0889578066622961	0.0263754449687803	-730.730591451942
10	107	0.57571249280747	0.010154196910235	-634.963367668109	0.554647708690623	0.0105897673868109	-636.940863345513
