simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	correct_factor	CHVP_test_correct	AIC_1	gamma_1	prop_1
11	90	0.00240019708834325	0.0832125867802024	0.0175597472887062	0.0351913636020771	0.777745895715471	0.619025381717423	0.0776431937267111	0.026627213566314	0.00240019708834325	0.00448673244573317	0.00194961030720986	0.173350700768222	1.04038320161621	0.181884800680657	-579.354604857576	0.00996321482400751_0.0832125867802024	0.498242877487793_0.501757122512207	
13	114	0.0122159414669922	0.0496920775297641	0.0416419010219041	0.0195114097415783	0.0122159414669922	0.0349852859393777	0.0582502393494999	0.0237760061693575	0.0387858315113595	0.0158214886901016	0.999240120131407	0.589207040096336	0.678598112046254	0.437561446856947	-728.526988209798	0.0496920775297641_0.0497114108802352	0.500000000000015_0.499999999999985	
12	116	0.585968634731618	0.015222157476064	-0.00560614866315474	0.0278678659303931	0.585968634731618	0.840921868380133	0.0577799108866726	0.0275366798919618	0.194796365694021	0.0380689123265918	0.41462402050175	0.105681003342648	1.08535292649422	0.117920778496275	-735.809279764443	0.015222157476064_0.0359111784291963	0.500018704810837_0.499981295189163	
14	105	0.0956917524525581	0.056980286505396	-0.0166534654006802	0.0359286621734022	0.560390404806731	0.643964039836628	0.0539711125986975	0.0338891927559211	0.0956917524525581	0.114290324735879	0.000430585328803801	0.152732979039482	0.794436719165257	0.114838914728793	-661.303173772343	-0.0209874029822324_0.056980286505396	0.499787550531639_0.500212449468361	
15	118	0.179629877938976	0.0276739259351622	0.0172130701399824	0.0221582928037807	0.21524943861976	0.438830960549971	0.0393963127450156	0.0204995817596872	0.179629877938976	0.0570616352067935	0.997447966008917	0.462416378966308	0.855915699055181	0.40382253871514	-766.702540964269	0.0276094846175706_0.0276739259351622	0.499999999999748_0.500000000000252	
17	95	0.0184943550635887	0.0430330526748036	0.0364261020049828	0.0179507328808828	0.0184943550635887	0.0452629204588022	0.0493410638844188	0.0220314664103438	0.0537126104559911	0.0274761757337183	0.999679150694977	0.649501195757707	0.660384042415467	0.484246673650529	-627.53831698134	0.0430330526748036_0.043042321252802	0.500000000000002_0.499999999999998	
18	108	0.00159788512672448	0.0483298595895469	0.0462308495262007	0.0149209581967506	0.00159788512672448	0.00248593484788845	0.0496134239765577	0.0154925236352523	0.00232485181866452	0.00179521138590068	0.999759138773571	0.875039581156931	0.854924410079762	0.828051222056451	-701.862837293072	0.0483298595895469_0.0483364815051586	0.5_0.5	
19	96	0.0412941008241089	0.0515490741924816	0.0380229955643132	0.0263758303398752	0.0538210787770456	0.152707912463522	0.0642170490926046	0.0249189881121192	0.0412941008241089	0.0115040426629176	0.998207255811932	0.470364054502419	0.694571939964351	0.340722788567023	-624.462614968416	0.0514991182047561_0.0515490741924816	0.499999999999892_0.500000000000108	
16	124	0.53576710407441	0.0188259659245922	0.0110966533324322	0.0303169335243699	0.53576710407441	0.71497771463706	0.0579897804405284	0.0303614441846088	0.0958736713825307	0.0584641072945186	0.110058093629769	0.274427001798614	0.84178569532589	0.227845173706285	-803.273507454739	0.0188259659245922_0.0509484573736417	0.500007181221486_0.499992818778514	
21	98	0.0327543914722173	0.0349619548397358	0.0306988118763696	0.019866781337447	0.0816385294010414	0.125546246119488	0.0381926576440481	0.0161405208130453	0.0327543914722173	0.0199566024598497	0.999812056612672	0.769703402377959	0.615456733577511	0.58100149295839	-644.166241022958	0.0349564172159613_0.0349619548397358	0.499999999999999_0.500000000000001	
