"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"result_1.chi2"	"CHVP_test"	"correct_factor"	"AIC_1"	"gamma_1"	"prop_1"
"12"	90	5.50216103166179e-05	0.120618039924867	0.0546367976411126	0.0358612076793411	0.208349561290466	0.131163522086812	0.110840052956488	0.0284643439095135	5.50216103166179e-05	0.000190321586424054	0.00124274316911221	NA	0.219614613184961	1.66906255867628	-564.17304956681	"0.0454473573433481_0.120618039924867"	"0.49873624428894_0.50126375571106"	NA
"13"	105	4.5797567092166e-05	0.0868137824814204	0.076505635583188	0.0204010851232434	4.5797567092166e-05	0.000290987521189278	0.0962805331117745	0.0263749783795051	0.00135868687495296	0.000411533114120524	0.999391441421787	NA	0.55314673113383	1.23015060836943	-663.837890439999	"0.0868137824814204_0.0868311618304583"	"0.500000000000284_0.499999999999716"	NA
"15"	93	2.48974169747558e-05	0.101323537216856	0.0920810281708066	0.0195501749589229	1.29347785184884e-06	8.74218724689812e-06	0.10711145916524	0.0228165123017745	2.48974169747558e-05	9.29420223080604e-06	0.999223440232351	NA	0.616908834044322	1.23404415570807	-600.049532830587	"0.101300854444884_0.101323537216856"	"0.499999999999255_0.500000000000745"	NA
"16"	94	0.000317535031735949	0.0543897260438286	0.0602022583179643	0.0145411947134882	0.000317535031735949	7.62715867933694e-05	0.0923774697686834	0.0271281256500594	0.000382245921105824	0.00097752883319552	0.0614834765611496	NA	0.295864321528392	2.13995950696105	-599.642535684704	"0.0543897260438286_0.100006745458378"	"0.507892177975778_0.492107822024222"	NA
"14"	105	0.000108269695792455	0.122526581241519	0.0644693701949054	0.0321479432186801	0.0561781486283857	0.0475182821434928	0.119485836696461	0.0304393649992556	0.000108269695792455	0.000155822689545294	0.0133381441686957	NA	0.213985415595677	1.30631177873031	-646.983488529432	"0.0620847264745854_0.122526581241519"	"0.495849650574019_0.504150349425981"	NA
"17"	120	2.32526653240681e-05	0.0980347301185092	0.0856055276040649	0.0236983599609782	7.08246970368411e-05	0.000445698170960539	0.109646227280853	0.0222543637540006	2.32526653240681e-05	2.7262927246171e-06	0.982266711353919	NA	0.45960514401112	1.30171460879927	-785.221539556043	"0.0975931652983763_0.0980347301185092"	"0.499999999846176_0.500000000153824"	NA
"18"	106	0.0043076990963053	0.0887921826747679	0.0749723851488551	0.0304273935079412	0.0043076990963053	0.0153640107601311	0.10456037005727	0.024166394848149	0.000372608620229719	3.46170566686159e-05	0.996529959672735	NA	0.446379536352308	1.22582146908665	-693.100110971683	"0.0887921826747679_0.0888842378340127"	"0.500000000002587_0.499999999997412"	NA
"19"	105	0.0947931101843967	0.0588747744051311	0.049328915461537	0.0349197247672017	0.0947931101843967	0.160747922905289	0.127449599801411	0.038530987595472	0.00266956262577152	0.00129234096543502	0.0180450764213034	NA	0.133015999905078	1.23786460771117	-637.549240558386	"0.0588747744051311_0.118575464253263"	"0.50027886658528_0.49972113341472"	NA
"20"	101	0.0001589740013895	0.0906697857207295	0.0527898643575082	0.0248977759177682	0.0139270529567094	0.0364580485177938	0.0968038311123859	0.0230961159772981	0.0001589740013895	5.99407038936149e-05	0.192423525100775	NA	0.194966489869216	1.26397048130864	-625.972988760425	"0.0623240834069675_0.0906697857207295"	"0.495746790299448_0.504253209700552"	NA
"21"	113	0.0549415364175787	0.0444101088665348	0.0335476136734561	0.0230339992221567	0.0565372594137702	0.148069033338958	0.0584773446766227	0.0228963697005682	0.0549415364175787	0.0119928110882695	0.999103524388568	NA	0.442729336317642	1.96874258516582	-701.022105339278	"0.0443820889783996_0.0444101088665348"	"0.499999999998855_0.500000000001145"	NA
"23"	110	0.000985437520398754	0.0999883713379301	0.0526326546636803	0.0390275024117169	0.10956559735369	0.180259514425713	0.111897391711952	0.0295256966659803	0.000985437520398754	0.000247485269229325	0.152064401116603	NA	0.225887523800872	1.59328102696473	-657.533402507424	"0.0629640148666249_0.0999883713379301"	"0.475276478647734_0.524723521352266"	NA
"22"	123	0.152936938444739	0.0655042010560042	0.0342876005234992	0.0455458863710743	0.152936938444739	0.453011613615459	0.094375309786334	0.038263441512894	0.0892956539628689	0.0150343413391081	0.99906260688242	NA	0.312435652304742	1.52361034158757	-738.723484242164	"0.0655042010560042_0.0655363787281631"	"0.500000000000717_0.499999999999283"	NA
"24"	96	0.000423402760345851	0.107899977260974	0.0878289186177858	0.0295320693582976	0.000423402760345851	0.00372571964152757	0.127782672874379	0.0369301684049627	0.00434499580266705	0.0008103712883135	0.999639912511318	NA	0.398146814568198	1.75241269936649	-594.462514382577	"0.107899977260974_0.107912456810213"	"0.500000000000029_0.499999999999972"	NA
"25"	94	7.21118391229145e-05	0.0790487730483724	0.0734791189433683	0.0190233728198329	7.21118391229145e-05	0.000207293007601188	0.0861284164229065	0.0196073118486477	0.000113062132540576	2.9633511247553e-05	0.999572738530383	NA	0.643350308552483	1.0497127084338	-602.200721177194	"0.0790487730483724_0.0790613574996604"	"0.500000000000588_0.499999999999412"	NA
"26"	106	6.37865354149128e-05	0.0938434221645449	0.0833003908243433	0.0225259016043758	6.37865354149128e-05	0.00034762212098945	0.105405996343562	0.023863715122787	0.000150350472494762	2.4399512992308e-05	0.998804312181134	NA	0.500551813190098	1.43122747641037	-692.970953735956	"0.0938434221645449_0.093875748508033"	"0.500000000001315_0.499999999998685"	NA
"29"	103	2.22029278740826e-05	0.0832462667012123	0.0767581502402042	0.0147895454401712	1.60834904761526e-07	1.07510125740692e-06	0.0865188872761846	0.0187184508701542	2.22029278740826e-05	1.11494711053664e-05	0.999753308788422	NA	0.682428516658455	1.33846287982913	-665.253925140886	"0.0832391197141213_0.0832462667012123"	"0.499999999999631_0.500000000000369"	NA
"30"	96	0.000186141441131386	0.085285880884254	0.0803705458941841	0.0219265009618684	0.000186141441131386	0.00040667527832427	0.0910703876375534	0.0155735430205004	3.5334588619333e-07	7.02085548317388e-08	0.999804283262292	NA	0.690742951765673	1.18083405806862	-603.276563491658	"0.085285880884254_0.0852921419673359"	"0.500000000000224_0.499999999999776"	NA
"27"	126	0.000385234977254327	0.104373342947474	0.0827981201480177	0.0325589899130138	0.00172001033877643	0.0122097821819157	0.124458460866807	0.0286034070416645	0.000385234977254327	2.78456926478666e-05	0.998090817745601	NA	0.336414679124404	1.19464025873956	-789.137549615727	"0.104318719337789_0.104373342947474"	"0.499999999998315_0.500000000001685"	NA
