simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	correct_factor	CHVP_test_correct	AIC_1	gamma_1	prop_1
1	120	1.05972512886594e-06	0.102197897357392	0.0936143250150232	0.0196124775335693	8.26788460966295e-07	5.20591768749296e-06	0.112255992819289	0.0198573530057672	1.05972512886594e-06	1.09915482468883e-07	0.994093292784323	0.50418299649903	2.17893104345747	0.832904863948891	-780.268852966933	0.102051633665983_0.102197897357392	0.499999999998561_0.500000000001439	
9	116	0.0722061725466582	0.0389991416715023	0.0452436700243943	0.0214929453611431	0.0722061725466582	0.0374642876545853	0.101360822062808	0.0283609161941831	0.00022071834044332	0.000515082569133143	0.000938706066730077	0.114797499030666	1.37550421597927	0.175335018528493	-743.716908452293	0.0389991416715023_0.108199206912562	0.502855953172115_0.497144046827885	
13	105	7.19308619706543e-05	0.0868918904757717	0.0768111337909241	0.021010616784095	7.19308619706543e-05	0.00040397239488972	0.0963218882537512	0.0240611957431532	0.000469721389236891	0.000117394565137886	0.999433409597587	0.541338937372221	2.94328425858459	0.941918196571885	-663.866386471924	0.0868918904757717_0.0869081037879051	0.500000000000007_0.499999999999993	
15	93	2.2338390806245e-06	0.101398793395466	0.0935077516550828	0.0200828034973717	2.2338390806245e-06	1.08084225780292e-05	0.106708549000887	0.0215455723591277	8.8301685991581e-06	3.30823946287267e-06	0.999107311153828	0.654019371368107	1.11221003181806	0.697664835468329	-600.083593894057	0.101398793395466_0.101424696403384	0.500000000000017_0.499999999999983	
16	94	0.000798637402081968	0.0546193773363982	0.0598055183237004	0.0157540434621409	0.000798637402081968	0.000261608965508256	0.0942482887960065	0.0287154474516293	0.000750576436321704	0.0014518284843899	0.0621425506997544	0.292988846780824	1.36672102226886	0.403554049044092	-599.669467661005	0.0546193773363982_0.100097271991388	0.507974025958598_0.492025974041402	
18	106	0.000850340161509684	0.0889143562909013	0.0734313933988322	0.0279795923660156	0.00197256874732398	0.00997260149094727	0.102970261564937	0.0258865804570295	0.000850340161509684	0.000128149417398905	0.996031185646636	0.438378220524825	1.12100072540333	0.483823749771655	-693.113245405007	0.0888091942495005_0.0889143562909013	0.499999999999704_0.500000000000296	
17	120	3.23069900795573e-06	0.108937788416103	0.0823006136684237	0.0258772028517456	0.00106582257258657	0.00187534772711091	0.113732361229321	0.022291865206086	3.23069900795573e-06	1.28655153151034e-06	0.265751391538227	0.357431346488286	1.48133775437586	0.514260415970064	-785.257763889451	0.0868150406080144_0.108937788416103	0.499958126265417_0.500041873734583	
14	105	0.00586281727412217	0.095564540138863	0.0620838842907411	0.0321759282462303	0.00372889593717508	0.056392040192577	0.125052330757059	0.0339679147148139	0.00586281727412217	0.000369658330904391	0.997101860332652	0.178358325541951	1.68682204316692	0.332929348303076	-646.975969124096	0.095473603846253_0.095564540138863	0.499999999999763_0.500000000000236	
19	105	0.104640151246757	0.0582547702419144	0.0513325672225162	0.0355849621208487	0.104640151246757	0.152156366720317	0.124583800414094	0.0386045146389267	0.00254309103370312	0.0016723020009076	0.0154312512107972	0.162963528877448	1.3858267307924	0.243473821480659	-637.577291952256	0.0582547702419144_0.119410650622996	0.50029784842288_0.49970215157712	
20	101	0.000743312697586327	0.0912407301878131	0.0537710214156502	0.026101174133509	0.0200503022941624	0.0419861014080222	0.0993516801869723	0.0262152190574807	0.000743312697586327	0.000257802257117146	0.178216204383844	0.217900275813333	1.20197551670871	0.268887712440375	-625.990248998215	0.0616831592841086_0.0912407301878131	0.4956106792425_0.5043893207575	
21	113	0.0616346022099777	0.0444920505013084	0.034278358112009	0.0235676335747915	0.0616346022099777	0.148613513350734	0.0558368965211856	0.02227064149626	0.0480803755736895	0.0136037391509928	0.999463405473806	0.506138024213691	1.4740592299764	0.672612487778601	-701.042296576844	0.0444920505013084_0.0445088443363384	0.500000000000011_0.499999999999989	
24	96	0.000831155806866197	0.107999158386289	0.0847139884933578	0.0312821265365177	0.000831155806866197	0.00802687912903592	0.133153914269968	0.0365204080615928	0.00391123767897689	0.000434581808370229	0.999534904273831	0.313766726938541	1.52306211556201	0.474430767257371	-594.496983835288	0.107999158386289_0.108015230197227	0.500000000000003_0.499999999999997	
23	110	0.000664488757999467	0.100759243482219	0.0559147324631341	0.0369303797531706	0.0943961412855155	0.132905524626513	0.108402799839005	0.028749733595847	0.000664488757999467	0.000264991684739159	0.142526160634368	0.26207555735053	1.14940088757426	0.304675883482422	-657.608512185468	0.0623144102513909_0.100759243482219	0.475159378086112_0.524840621913888	
25	94	0.00021963086216336	0.0791761715548869	0.0721629297441108	0.0206965282643914	0.0002365837077482	0.000748390609290933	0.0862315646942376	0.0205858310691261	0.00021963086216336	6.37097748105849e-05	0.999569114950908	0.629842330631013	1.1072843142914	0.672171494996031	-602.244937176291	0.0791634995962371_0.0791761715548869	0.499999999999998_0.500000000000002	
22	123	0.11467450430476	0.0655339980078102	0.035537258080137	0.040220103060509	0.105981612382261	0.378666469825574	0.0925776359341722	0.04124526402547	0.11467450430476	0.0265983134347612	0.999055362056845	0.322113067144659	1.47881681532307	0.471667213128922	-738.720745175845	0.0655016550841172_0.0655339980078102	0.499999999999997_0.500000000000003	
26	106	3.52705022583541e-05	0.0939890759309469	0.0840464249661655	0.0217475487817792	3.52705022583541e-05	0.000192933357311784	0.103955428042284	0.0232835379034271	0.000102759624580311	2.02431523799463e-05	0.99895086713352	0.532047020397037	1.84337468985244	0.79122894353459	-693.020834373007	0.0939890759309469_0.0940174470671444	0.500000000000039_0.499999999999961	
