"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"result_1.chi2"	"CHVP_test"	"correct_factor"	"AIC_1"	"gamma_1"	"prop_1"
"20"	110	0.00399142842187561	-0.0881873115017322	-0.11050857790219	0.0286161136142713	0.00260211686544934	0.000191351881327188	-0.0668079526362181	0.0299814980408628	0.00399142842187561	0.0279129650344418	0.999530988189809	NA	0.291700410281027	1.21589651607754	-685.966396410774	"-0.0882016342056417_-0.0881873115017322"	"0.499999999999953_0.500000000000047"	NA
"22"	120	4.35005344878203e-06	-0.0753752544564853	-0.0790834822140516	0.013557313092223	1.68147059540634e-07	4.77854795751063e-08	-0.0742588749336314	0.0156503943700916	4.35005344878203e-06	5.85735247370671e-06	0.99989143258394	NA	0.815756705362932	1.31019744687764	-751.208366039884	"-0.0753789295732832_-0.0753752544564853"	"0.499999999999909_0.500000000000091"	NA
"21"	109	1.03655144257819e-08	-0.152540461909651	-0.148832601302941	0.0245879858927035	1.03655144257819e-08	2.0932160275145e-08	-0.0725984201389694	0.0330275990082209	0.0426590542117608	0.0300751684903704	9.18383654062715e-05	NA	0.0641031436855186	1.41635628311384	-703.802190187544	"-0.152540461909651_-0.0677489981446386"	"0.500850853982378_0.499149146017622"	NA
"23"	101	0.000683127959473083	-0.0690141583473495	-0.112898992831697	0.0327278663782131	0.00115104320667607	0.000823307363488463	-0.065117124988226	0.0196858649015695	0.000683127959473083	0.00130739819671778	0.131451811241827	NA	0.210902126224745	1.37451124661476	-615.198345091663	"-0.109549044217635_-0.0690141583473495"	"0.475629405858212_0.524370594141788"	NA
"24"	107	0.00598664602557424	-0.105544795785978	-0.134288618585441	0.0376270867632449	0.00598664602557424	0.000539996972961572	-0.0870300146848657	0.0236080897110005	1.96356772964827e-05	0.00036038643630677	0.999862659658514	NA	0.287372696681013	1.17976684248257	-673.759694416157	"-0.105544795785978_-0.105540576066992"	"0.500000000000239_0.499999999999761"	NA
"25"	110	8.62693697871753e-12	-0.0987136808081571	-0.0981300165539442	0.0129072072249678	8.62693697871753e-12	1.08420870407328e-11	-0.0960444137768385	0.0139643078552977	1.56516602228498e-10	3.99408317598347e-10	0.999691359458249	NA	0.912664923069747	1.61440877368607	-714.206994204437	"-0.0987136808081571_-0.0987056641924614"	"0.500000000000171_0.499999999999829"	NA
"26"	116	0.25399281846482	-0.034507764563569	-0.106636204204869	0.0352156928529084	0.00191754488977577	0.00303871462841244	-0.0369384902351327	0.0300999217235609	0.25399281846482	0.222255416475777	0.00026651286574797	NA	0.132455994447141	0.891119326395027	-715.624873912958	"-0.111842707884681_-0.034507764563569"	"0.499916829328544_0.500083170671456"	NA
"28"	111	4.84692841805826e-07	-0.114183601914135	-0.120341743558769	0.0213442422635138	4.84692841805826e-07	1.34506509222432e-07	-0.110976771628455	0.0230806587383508	2.73072828029483e-06	4.86367178828807e-06	0.999746361030383	NA	0.765783147288561	1.30183614638621	-706.854498741821	"-0.114183601914135_-0.11417594737907"	"0.500000000000213_0.499999999999787"	NA
"27"	113	2.37354864015953e-05	-0.101094382098815	-0.105159929670606	0.0246428655131935	7.77771226055881e-05	4.15585602747657e-05	-0.0915919227748074	0.0229173506696461	2.37354864015953e-05	0.000115419442451527	0.999844901973142	NA	0.68681402698326	1.41984886507096	-694.148628775086	"-0.101099912844173_-0.101094382098815"	"0.499999999999899_0.500000000000101"	NA
"30"	104	5.46601073216382e-09	-0.15387395025811	-0.147456444650585	0.0241700128126688	5.46601073216382e-09	1.87127410636117e-08	-0.0336443764006024	0.0340671788660594	0.513371237891665	0.325668203132114	2.04154915195431e-10	NA	0.00643580996679617	1.15671199639999	-656.168334056801	"-0.15387395025811_-0.0223435846681494"	"0.503538606909502_0.496461393090498"	NA
