simNum	IVsNum	plei_test	P	eff
45	115	0.139	2.30818482275893e-08	-0.086708972937219	
9	115	0.129	5.0431559438326e-05	-0.06294703195094	
15	117	0.022	6.60802132939113e-08	-0.0859322314980708	
77	114	0	2.65121007563546e-08	-0.0874521474578236	
7	117	0	2.42043466552036e-07	-0.0805251074812067	
27	113	0	5.9169638890443e-10	-0.103930254273427	
99	117	0	1.27362842835065e-06	-0.0760155252421649	
83	122	0.04	7.99136569915463e-11	-0.0964646918838131	
29	119	0.135	4.21745496020574e-10	-0.0961922193007688	
89	121	0.003	4.63294644222283e-11	-0.106558945117984	
47	123	0.006	1.16126905606088e-07	-0.0832615286514739	
69	130	0	2.3051198810599e-15	-0.119687442569685	
14	100	0	2.5694022599099e-10	-0.110711027027259	
80	97	0.054	9.2104435677249e-06	-0.0747772533779739	
92	105	0	5.35684318841754e-08	-0.094194484665543	
44	96	0.015	7.74627084191256e-09	-0.0897162524787024	
94	110	0.027	5.006533759237e-08	-0.0906076610996183	
52	97	0.158	3.3151601284918e-08	-0.0972827706093906	
88	93	0.755	1.09053121593727e-06	-0.0721540388441954	
64	91	0	3.75518023029938e-08	-0.0978835976604137	
54	106	0.441	2.10710600819759e-08	-0.0837445114913422	
18	101	0.014	0.00020261812837045	-0.0633693891644233	
56	111	0.884	3.18240142308402e-08	-0.072909792773499	
86	109	0.748	4.98739839022662e-06	-0.0606110922250794	
68	106	0.066	7.07253796545295e-09	-0.0970674234670837	
42	117	0.002	4.88473682406024e-07	-0.0778720593939999	
40	94	0	7.4564575163264e-08	-0.0943660969915189	
32	105	0.427	1.66990217194453e-09	-0.0933577483486369	
78	90	0.582	1.42977001772785e-08	-0.0923057327855287	
38	101	0.001	2.18564023281612e-07	-0.0927287849405506	
60	126	0.05	2.4073749304583e-11	-0.105543376284483	
98	111	0.111	4.63801247860697e-08	-0.0870850450515159	
4	111	0.326	1.48322759181017e-07	-0.0789316829129579	
50	102	0.036	2.31080289641945e-07	-0.0875682264087159	
24	107	0.025	7.33609866656889e-11	-0.105003168174708	
76	112	0.231	2.13536762682436e-06	-0.0714841686826163	
8	98	0.011	7.12291329829258e-08	-0.0951534025491747	
6	112	0.061	2.21002497237979e-10	-0.104496236557187	
62	111	0.723	1.09589543080827e-13	-0.115921074671825	
20	110	0.026	1.54913140136872e-07	-0.0807997186603701	
74	110	0.003	5.30614456612858e-08	-0.092835612061397	
48	96	0.01	9.863310471372e-09	-0.101038819435064	
96	108	0.076	4.06126739455908e-06	-0.0741790033366245	
12	119	0	2.43096682011228e-11	-0.0828454112007834	
30	104	0.128	1.39796138750178e-08	-0.0893961198706036	
66	113	0.001	2.25470487396821e-09	-0.100499395330567	
10	109	0.135	5.96102594723981e-07	-0.0807419961116326	
26	116	0.026	2.44353541472771e-06	-0.07359181556047	
46	111	0.468	1.33952218510766e-06	-0.0719888216402014	
34	110	0.124	9.55687193413313e-11	-0.108657439529105	
82	125	0.158	1.10685687436066e-11	-0.100791677018586	
84	107	0.582	9.80953897118303e-07	-0.0720620895645857	
72	117	0.12	5.39389438311108e-08	-0.0815928641730037	
2	115	0.004	1.54139902479749e-08	-0.0895527690678091	
22	120	0.011	1.56925609500613e-08	-0.0794399108061666	
16	116	0.434	5.16239507730891e-12	-0.104066022126871	
28	111	0.071	1.34086221659069e-11	-0.113916714049908	
90	106	0	1.91353449551531e-07	-0.0923923022121902	
58	124	0.23	1.12513702115253e-15	-0.121985607509376	
70	109	0.297	4.00085169193069e-08	-0.0834957243148043	
100	117	0.015	2.18282626013678e-11	-0.0931344162504736	
36	123	0.046	9.5317737929846e-11	-0.098121661159775	
