simNum	IVsNum	plei_test	P	eff
71	118	0.079	3.19198229688761e-20	0.159416700517236	
81	113	0.942	1.55140538879157e-25	0.168916054878524	
47	121	0.265	1.56839196521832e-23	0.17803548849114	
19	118	0.66	2.46446424565154e-21	0.153022680410233	
9	121	0.079	3.82236797199833e-17	0.140781508752818	
31	117	0.172	1.20702555048608e-17	0.148268980046862	
51	125	0.765	2.1500793633999e-25	0.162514650846554	
5	124	0.697	8.94934678470084e-23	0.151380104396599	
45	126	0.087	1.46568457148136e-20	0.158027155779871	
92	84	0.101	1.14449255888887e-13	0.15157561751727	
74	94	0.924	7.05587986658635e-19	0.153643899556996	
36	80	0.074	1.47891202810732e-10	0.134520052082195	
30	94	0.645	1.0116689535247e-16	0.145982033669113	
50	97	0.295	1.18880494461251e-14	0.143259755066269	
34	101	0.785	3.96590403199714e-20	0.154344263568061	
62	110	0.292	1.68681909201001e-20	0.171920587012889	
4	92	0.344	5.08842064853698e-14	0.138542688587556	
44	95	0.091	2.5058712323246e-12	0.135174447660525	
42	97	0.891	1.40512587524636e-19	0.15128058548006	
8	97	0.261	1.40868884180682e-13	0.130821819900779	
56	110	0.223	7.52057407113763e-17	0.139741326328675	
14	101	0.661	2.44958275256564e-16	0.138391343862162	
40	99	0.656	2.84844525743252e-20	0.166387895782154	
26	98	0.141	8.8979165195634e-17	0.161651406261753	
18	108	0.813	3.0692163328698e-23	0.164864539687539	
90	111	0.547	4.95479012570431e-21	0.159322802952625	
2	112	0.932	4.13520726236945e-25	0.172898653207846	
38	104	0.528	4.8103010769573e-16	0.131851617205691	
66	112	0.806	7.56357268633146e-22	0.156838153027778	
76	103	0.557	6.30456885438111e-19	0.153043104759551	
64	102	0.665	5.50915403509858e-22	0.167067446589941	
100	111	0.306	3.10215632110305e-20	0.160081887982386	
82	95	0.862	2.0621661338009e-20	0.157198562956128	
60	108	0.786	7.06451809738543e-19	0.14032117927865	
58	111	0.912	1.584406325586e-22	0.155741705272858	
86	107	0.323	9.41944223228192e-20	0.163969094894005	
80	110	0.652	3.87335741574328e-20	0.147508499200764	
68	118	0.806	2.0519570586986e-23	0.156814493788723	
16	116	0.032	3.88995590158096e-14	0.131184691283259	
54	113	0.898	3.1668209990053e-18	0.125726456481596	
84	121	0.987	8.72409552868591e-27	0.160672611995377	
6	99	0.161	4.09290649196529e-16	0.153871789740332	
88	108	0.702	1.20345577906996e-20	0.156384526024555	
20	105	0.133	6.76331268894137e-17	0.147804526872286	
48	104	0.859	1.48909103012152e-21	0.158572899443679	
96	110	0.392	1.08053620932099e-22	0.17371716074834	
94	118	0.123	8.92508639969762e-21	0.157961573828927	
10	103	0.401	8.91881509000239e-18	0.149724972163713	
24	122	0.533	2.02794527285453e-18	0.134337365143466	
32	104	0.189	7.38395856833891e-19	0.170162817520732	
28	120	0.675	5.34745992795519e-23	0.159573531330144	
22	120	0.741	3.41833076670437e-26	0.16656047397698	
98	118	0.391	1.37694382807092e-18	0.144365410773231	
12	127	0.208	1.59817662937041e-18	0.141068245470674	
78	122	0.086	1.24185686323264e-20	0.160819956841867	
70	125	0.325	3.78925428562286e-22	0.153729893148365	
52	113	0.768	3.49681574714071e-19	0.139945084104778	
46	112	0.543	1.6219149589728e-21	0.162933840135131	
72	123	0.536	7.38703712679647e-26	0.172517732655246	
