simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
41	99	0.00227549828658048	0.138403981643782	-0.059877186748664	0.055605669693328	0.25120833172259	0.28420524305526	0.133632135661196	0.0441626633874632	0.00227549828658048	0.00316628794558294	4.14734913078973e-12	0.00642774229849901	-574.587777884903	-0.0641823486345335_0.138403981643782	0.49789860980476_0.50210139019524	
10	105	0.0589760328353261	-0.0887318077753526	-0.0639878692031079	0.0464728642137182	0.0589760328353261	0.171503974859107	0.106807457363415	0.0600777656146646	0.0301599113292338	0.078356152158783	3.99680288865056e-14	0.0245343102269067	-594.787221242053	-0.0887318077753526_0.132056227065317	0.501191667585351_0.498808332414649	
33	107	0.247205019318673	-0.0475127373845479	-0.0406927630562409	0.0408330828877915	0.247205019318673	0.321245917165398	0.154111450986494	0.0370058331638996	1.98993454444036e-05	6.37543778428347e-05	1.24567023362943e-13	0.000407739847299624	-617.700772466399	-0.0475127373845479_0.165309955983418	0.502911778141245_0.497088221858755	
63	106	0.0636842085991065	-0.0490057630021602	-0.0458049229652899	0.0261477160344398	0.0636842085991065	0.0827321646789741	0.123136637335117	0.0362243834943467	0.000416513288190039	0.000956080104034857	2.33322250409174e-11	0.000155875171336425	-623.206425063677	-0.0490057630021602_0.132067135509426	0.510621817521984_0.489378182478016	
71	116	0.480012949236779	-0.0322656706656767	-0.0493158721646564	0.0455350457601105	0.480012949236779	0.281060183008988	0.110053439279222	0.0471347356748014	0.0455536578955648	0.0212847948315888	9.76805923769142e-06	0.0150265546094535	-665.66415558153	-0.0322656706656767_0.0952811790741806	0.503208776613137_0.496791223386863	
2	99	0.459383419018189	0.0449705068061724	-0.0712832182415853	0.0443826997195666	0.476627195562009	0.111468713203217	0.0857149401902113	0.0605423895413952	0.459383419018189	0.16000912555141	0.0256162228748567	0.0364911024743817	-565.561282634472	-0.0317106716977155_0.0449705068061724	0.486372109590647_0.513627890409353	
25	103	0.0115577029202978	0.0942935763570396	-0.0219564539770734	0.0587170979892557	0.742304434028381	0.709227874462291	0.111114213049241	0.0366641080527751	0.0115577029202978	0.00309332509158371	0.0218884666208483	0.0545653321759823	-572.801559524248	0.0193588977685586_0.0942935763570396	0.496501880788159_0.503498119211841	
79	118	0.0479989742398449	-0.0689011907616909	-0.0752235164554386	0.0344792386919279	0.0479989742398449	0.0311308263038111	0.136363833536331	0.0346491857562129	0.00037145662168119	0.000141327061429976	6.58895160654538e-12	1.50065144495513e-05	-672.010441669161	-0.0689011907616909_0.127035626109019	0.502505148810847_0.497494851189153	
19	118	4.71725590535956e-07	-0.108143080189637	-0.0988984290611049	0.0202674286137586	4.71725590535956e-07	3.38876903024578e-06	0.168987538530383	0.0352421401884983	8.9334952210253e-07	4.83059207598487e-06	0	4.41745253186763e-11	-707.221590845773	-0.108143080189637_0.182927635729895	0.520277742024404_0.479722257975596	
94	115	0.00018695379824454	-0.0938291935990427	-0.0818904897156738	0.0242939305839094	0.00018695379824454	0.00102371262633548	0.174499845622901	0.0442824765108112	7.27727795231126e-05	0.000140535681880943	0	3.85143383047815e-07	-660.943559573467	-0.0938291935990427_0.182333460776812	0.506289375365665_0.493710624634335	
57	103	0.028563768314462	-0.0653654913587784	-0.0579091018979992	0.0294309599250197	0.028563768314462	0.0518265478752415	0.147389088440162	0.0610906549740004	0.0134549940653019	0.0176234201426447	1.17683640610267e-14	0.00246558973120654	-585.72139271339	-0.0653654913587784_0.153659651188372	0.5042950339231_0.4957049660769	
64	105	2.89699357260174e-08	-0.130865994925333	-0.123611944259392	0.0218086448675241	2.89699357260174e-08	1.3008867696011e-07	0.15387847335798	0.0464188921190032	0.000796856257066394	0.00126231075045856	0	6.28253033631803e-08	-609.465807721602	-0.130865994925333_0.160392285586847	0.520587710333988_0.479412289666012	
95	95	0.000317986716646348	-0.0993974254464569	-0.0946880891688978	0.0265879411035165	0.000317986716646348	0.000581328014355945	0.137020430938045	0.0285405473205955	1.71119846415127e-06	5.94324781340259e-06	0	2.84493987817653e-09	-575.095569849258	-0.0993974254464569_0.145742421576592	0.502977438887114_0.497022561112886	
49	120	0.00139069288148044	-0.115606648053309	-0.105444928278037	0.0353153047400211	0.00139069288148044	0.00343420550142548	0.149157294597001	0.0323024890535268	2.9337944826605e-06	9.89501108706675e-06	0	1.03949842600396e-07	-696.192949480891	-0.115606648053309_0.158594355233446	0.500678553823723_0.499321446176277	
26	107	8.55389087982438e-09	-0.145170210877521	-0.139719063605309	0.0232099142304666	8.55389087982438e-09	2.54390892880433e-08	0.1740414454329	0.0306825377211548	2.26879383407231e-08	1.23235003837918e-07	0	3.47766133063441e-16	-604.038561388182	-0.145170210877521_0.185465172064148	0.525505213259135_0.474494786740865	
